reviewTitle,reviewBody,aspect,categorized_aspect,sentiment,response
love this cup,Perfect for  cup of tea,cup of tea,other,positive,Thank you for highlighting the cup of tea. We're glad you're satisfied!
Colorful and looks nice on my front porch.,Perfect for what I needed.,product performance,functionality,neutral,Thank you for sharing your thoughts on the product performance.
Size,"Great for small kitchens, highly effective (:",small kitchens,other,positive,Thank you for highlighting the small kitchens. We're glad you're satisfied!
Size,"Great for small kitchens, highly effective (:",highly effective,other,positive,Thank you for highlighting the highly effective. We're glad you're satisfied!
Great hat,Great hat,hat,other,positive,Thank you for highlighting the hat. We're glad you're satisfied!
Overall a beautiful puzzle,"Love him!! Been waiting to get him for a while and now he's finally part of my collection. I say it's easy to assemble because of experience, if you're a first-timer for the Crystal Puzzles he might be a little easy to do, just depends. Arrived within two days of shipping and he's a beautiful light ocean blue, stands out from a lot of the main colored puzzles I have.",product quality,quality,positive,Thank you for highlighting the product quality. We're glad you're satisfied!
Overall a beautiful puzzle,"Love him!! Been waiting to get him for a while and now he's finally part of my collection. I say it's easy to assemble because of experience, if you're a first-timer for the Crystal Puzzles he might be a little easy to do, just depends. Arrived within two days of shipping and he's a beautiful light ocean blue, stands out from a lot of the main colored puzzles I have.",shipping time,service,positive,Thank you for highlighting the shipping time. We're glad you're satisfied!
Overall a beautiful puzzle,"Love him!! Been waiting to get him for a while and now he's finally part of my collection. I say it's easy to assemble because of experience, if you're a first-timer for the Crystal Puzzles he might be a little easy to do, just depends. Arrived within two days of shipping and he's a beautiful light ocean blue, stands out from a lot of the main colored puzzles I have.",ease of assembly,other,neutral,Thank you for sharing your thoughts on the ease of assembly.
Overall a beautiful puzzle,"Love him!! Been waiting to get him for a while and now he's finally part of my collection. I say it's easy to assemble because of experience, if you're a first-timer for the Crystal Puzzles he might be a little easy to do, just depends. Arrived within two days of shipping and he's a beautiful light ocean blue, stands out from a lot of the main colored puzzles I have.",color,appearance,positive,Thank you for highlighting the color. We're glad you're satisfied!
For everyone who loves maple syrup,Love the flavor. This is the first real great tasting sugar-free maple syrup that I have ever bought.,flavor,other,positive,Thank you for highlighting the flavor. We're glad you're satisfied!
For everyone who loves maple syrup,Love the flavor. This is the first real great tasting sugar-free maple syrup that I have ever bought.,product (maple syrup),other,positive,Thank you for highlighting the product (maple syrup). We're glad you're satisfied!
Great,So easy to use and made my winter mornings so much quicker. It’s fast to install and easy to take take off. The video tutorial they have for this product was also very helpful.,ease of use,functionality,positive,Thank you for highlighting the ease of use. We're glad you're satisfied!
Great,So easy to use and made my winter mornings so much quicker. It’s fast to install and easy to take take off. The video tutorial they have for this product was also very helpful.,installation speed,other,positive,Thank you for highlighting the installation speed. We're glad you're satisfied!
Great,So easy to use and made my winter mornings so much quicker. It’s fast to install and easy to take take off. The video tutorial they have for this product was also very helpful.,taking off,other,positive,Thank you for highlighting the taking off. We're glad you're satisfied!
Great,So easy to use and made my winter mornings so much quicker. It’s fast to install and easy to take take off. The video tutorial they have for this product was also very helpful.,video tutorial,other,positive,Thank you for highlighting the video tutorial. We're glad you're satisfied!
Black garlic,"I like the product , I eat one every day great taste",taste,other,positive,Thank you for highlighting the taste. We're glad you're satisfied!
Black garlic,"I like the product , I eat one every day great taste",product (general),other,positive,Thank you for highlighting the product (general). We're glad you're satisfied!
The black face mask looks exceptional.,Love the look of these face masks except for the colors. The black one is very nice & looks phenomenal. The other colors not so much.,look,appearance,positive,Thank you for highlighting the look. We're glad you're satisfied!
The black face mask looks exceptional.,Love the look of these face masks except for the colors. The black one is very nice & looks phenomenal. The other colors not so much.,colors,appearance,neutral,Thank you for sharing your thoughts on the colors.
The black face mask looks exceptional.,Love the look of these face masks except for the colors. The black one is very nice & looks phenomenal. The other colors not so much.,black one's color,appearance,positive,Thank you for highlighting the black one's color. We're glad you're satisfied!
The black face mask looks exceptional.,Love the look of these face masks except for the colors. The black one is very nice & looks phenomenal. The other colors not so much.,other colors,appearance,negative,We're sorry about the issues with other colors. We'll work on improving this aspect!
Broken,"Broken, not functioning. The string is cut so it won’t open. I will be returning it!!!",functionality,functionality,negative,We're sorry about the issues with functionality. We'll work on improving this aspect!
Broken,"Broken, not functioning. The string is cut so it won’t open. I will be returning it!!!",product quality,quality,negative,We're sorry about the issues with product quality. We'll work on improving this aspect!
Broken,"Broken, not functioning. The string is cut so it won’t open. I will be returning it!!!",string quality,quality,negative,We're sorry about the issues with string quality. We'll work on improving this aspect!
Amazing,So I got the one size regular. I am 5’6 and 176 lbs. I also have a little baby pouch from having kids lol when I first looked at them upon delivery they looked small. I tried them on. There was some extra leg length that bunches up some but not bad. They’re extremely soft. They hid my pouch pretty well. I can also lift my legs high and squat with no feeling of gaining tightness on my legs or anywhere. So they are pretty stretchy as well. I’m happy with them.,softness,other,positive,Thank you for highlighting the softness. We're glad you're satisfied!
Amazing,So I got the one size regular. I am 5’6 and 176 lbs. I also have a little baby pouch from having kids lol when I first looked at them upon delivery they looked small. I tried them on. There was some extra leg length that bunches up some but not bad. They’re extremely soft. They hid my pouch pretty well. I can also lift my legs high and squat with no feeling of gaining tightness on my legs or anywhere. So they are pretty stretchy as well. I’m happy with them.,fit for pouch,other,positive,Thank you for highlighting the fit for pouch. We're glad you're satisfied!
Amazing,So I got the one size regular. I am 5’6 and 176 lbs. I also have a little baby pouch from having kids lol when I first looked at them upon delivery they looked small. I tried them on. There was some extra leg length that bunches up some but not bad. They’re extremely soft. They hid my pouch pretty well. I can also lift my legs high and squat with no feeling of gaining tightness on my legs or anywhere. So they are pretty stretchy as well. I’m happy with them.,stretchiness,other,positive,Thank you for highlighting the stretchiness. We're glad you're satisfied!
Amazing,So I got the one size regular. I am 5’6 and 176 lbs. I also have a little baby pouch from having kids lol when I first looked at them upon delivery they looked small. I tried them on. There was some extra leg length that bunches up some but not bad. They’re extremely soft. They hid my pouch pretty well. I can also lift my legs high and squat with no feeling of gaining tightness on my legs or anywhere. So they are pretty stretchy as well. I’m happy with them.,leg length,other,neutral,Thank you for sharing your thoughts on the leg length.
Dry gas shiing,Works well,functionality,functionality,positive,Thank you for highlighting the functionality. We're glad you're satisfied!
Expensive for what you get,I use 9 gallons of water to fertilize all my succulents on the porch. One entire bottle is only good for 8 gallons.,water capacity,other,negative,We're sorry about the issues with water capacity. We'll work on improving this aspect!
Expensive for what you get,I use 9 gallons of water to fertilize all my succulents on the porch. One entire bottle is only good for 8 gallons.,value for money,price,negative,We're sorry about the issues with value for money. We'll work on improving this aspect!
Perfect family beach towel,"This is the perfect beach towel! I wanted something large enough to fit me, my husband, and my young daughter comfortably, along with all of our beach gear that we want to protect from sand. It comes with stakes and packets to fill with sand to weigh it down, which is great so I don’t have to worry about putting something in each corner. I also intend to use this inside our beach tent to make it more waterproof. It’s light weight and small when packed up. A must-have for every beachgoer.",large enough to fit family and beach gear comfortably,comfort,positive,Thank you for highlighting the large enough to fit family and beach gear comfortably. We're glad you're satisfied!
Perfect family beach towel,"This is the perfect beach towel! I wanted something large enough to fit me, my husband, and my young daughter comfortably, along with all of our beach gear that we want to protect from sand. It comes with stakes and packets to fill with sand to weigh it down, which is great so I don’t have to worry about putting something in each corner. I also intend to use this inside our beach tent to make it more waterproof. It’s light weight and small when packed up. A must-have for every beachgoer.",comes with stakes and packets for weighing down,other,positive,Thank you for highlighting the comes with stakes and packets for weighing down. We're glad you're satisfied!
Perfect family beach towel,"This is the perfect beach towel! I wanted something large enough to fit me, my husband, and my young daughter comfortably, along with all of our beach gear that we want to protect from sand. It comes with stakes and packets to fill with sand to weigh it down, which is great so I don’t have to worry about putting something in each corner. I also intend to use this inside our beach tent to make it more waterproof. It’s light weight and small when packed up. A must-have for every beachgoer.",light weight and small when packed up,other,positive,Thank you for highlighting the light weight and small when packed up. We're glad you're satisfied!
Perfect family beach towel,"This is the perfect beach towel! I wanted something large enough to fit me, my husband, and my young daughter comfortably, along with all of our beach gear that we want to protect from sand. It comes with stakes and packets to fill with sand to weigh it down, which is great so I don’t have to worry about putting something in each corner. I also intend to use this inside our beach tent to make it more waterproof. It’s light weight and small when packed up. A must-have for every beachgoer.",intended use inside beach tent makes it waterproof,functionality,positive,Thank you for highlighting the intended use inside beach tent makes it waterproof. We're glad you're satisfied!
Not worth the money,I purchased this as a gift once the child received it it did not work it was poorly made and a waste of money. Wanted to return and it cost just as much to ship it back as the item itself.,quality,quality,negative,We're sorry about the issues with quality. We'll work on improving this aspect!
Not worth the money,I purchased this as a gift once the child received it it did not work it was poorly made and a waste of money. Wanted to return and it cost just as much to ship it back as the item itself.,price,price,negative,We're sorry about the issues with price. We'll work on improving this aspect!
Not worth the money,I purchased this as a gift once the child received it it did not work it was poorly made and a waste of money. Wanted to return and it cost just as much to ship it back as the item itself.,return policy,other,negative,We're sorry about the issues with return policy. We'll work on improving this aspect!
Did not fit,Bought this for 2014 Dodge Dart SXT and they did not fit.  Perhaps not compatible with alloy wheels?  They should specify wheel type in fit guide.,fit,other,negative,We're sorry about the issues with fit. We'll work on improving this aspect!
Did not fit,Bought this for 2014 Dodge Dart SXT and they did not fit.  Perhaps not compatible with alloy wheels?  They should specify wheel type in fit guide.,product specification (wheel type),other,neutral,Thank you for sharing your thoughts on the product specification (wheel type).
Easy to clean,I love how durable the straws are and it's easy to clean. My children love the straws.  I normally use them at work to avoid displaying plastic straw.,durable straws,other,positive,Thank you for highlighting the durable straws. We're glad you're satisfied!
Easy to clean,I love how durable the straws are and it's easy to clean. My children love the straws.  I normally use them at work to avoid displaying plastic straw.,easy to clean,other,positive,Thank you for highlighting the easy to clean. We're glad you're satisfied!
Easy to clean,I love how durable the straws are and it's easy to clean. My children love the straws.  I normally use them at work to avoid displaying plastic straw.,children's preference,other,positive,Thank you for highlighting the children's preference. We're glad you're satisfied!
Easy to clean,I love how durable the straws are and it's easy to clean. My children love the straws.  I normally use them at work to avoid displaying plastic straw.,usefulness at work,functionality,positive,Thank you for highlighting the usefulness at work. We're glad you're satisfied!
As advertised.,Excellent braze alloy. Will buy again.,braze alloy,other,positive,Thank you for highlighting the braze alloy. We're glad you're satisfied!
As advertised.,Excellent braze alloy. Will buy again.,price (implied),price,positive,Thank you for highlighting the price (implied). We're glad you're satisfied!
Can move around easily & charge will using oynjm,Love the length of this cord 10 ft.,length,other,positive,Thank you for highlighting the length. We're glad you're satisfied!
Proven in a 24hr adventure race,I wore these for a 24hr adventure race and was pleased. I was worried my backside would get overly sore with 90+ miles of biking but faired no worse than I’d expect to in fully padded bike shorts. They held up well over 30+ miles of trekking in that race with no chaffing or discomfort. I did wear UA boxer briefs underneath as I could feel the seam of the pad against my skin without them and didn’t want to risk irritation over that distance.,performance in biking,functionality,positive,Thank you for highlighting the performance in biking. We're glad you're satisfied!
Proven in a 24hr adventure race,I wore these for a 24hr adventure race and was pleased. I was worried my backside would get overly sore with 90+ miles of biking but faired no worse than I’d expect to in fully padded bike shorts. They held up well over 30+ miles of trekking in that race with no chaffing or discomfort. I did wear UA boxer briefs underneath as I could feel the seam of the pad against my skin without them and didn’t want to risk irritation over that distance.,comfort during trekking,comfort,positive,Thank you for highlighting the comfort during trekking. We're glad you're satisfied!
Proven in a 24hr adventure race,I wore these for a 24hr adventure race and was pleased. I was worried my backside would get overly sore with 90+ miles of biking but faired no worse than I’d expect to in fully padded bike shorts. They held up well over 30+ miles of trekking in that race with no chaffing or discomfort. I did wear UA boxer briefs underneath as I could feel the seam of the pad against my skin without them and didn’t want to risk irritation over that distance.,preventing chafing and discomfort,comfort,positive,Thank you for highlighting the preventing chafing and discomfort. We're glad you're satisfied!
Proven in a 24hr adventure race,I wore these for a 24hr adventure race and was pleased. I was worried my backside would get overly sore with 90+ miles of biking but faired no worse than I’d expect to in fully padded bike shorts. They held up well over 30+ miles of trekking in that race with no chaffing or discomfort. I did wear UA boxer briefs underneath as I could feel the seam of the pad against my skin without them and didn’t want to risk irritation over that distance.,padding comfort without underwear,comfort,neutral,Thank you for sharing your thoughts on the padding comfort without underwear.
Great,Great! It works.,functionality,functionality,positive,Thank you for highlighting the functionality. We're glad you're satisfied!
Do not buy,Already fading to white.,color,appearance,negative,We're sorry about the issues with color. We'll work on improving this aspect!
not as pictured,"I ordered this because the picture shows a splash guard with a cut out at the narrow end to hold the down spout.  The one that arrived did not have this feature and so, is of no use to me. Will be returning.",product description accuracy,other,negative,We're sorry about the issues with product description accuracy. We'll work on improving this aspect!
not as pictured,"I ordered this because the picture shows a splash guard with a cut out at the narrow end to hold the down spout.  The one that arrived did not have this feature and so, is of no use to me. Will be returning.",product functionality,functionality,negative,We're sorry about the issues with product functionality. We'll work on improving this aspect!
Just buy it,Just what i needed. Fast shipping.,shipping,service,positive,Thank you for highlighting the shipping. We're glad you're satisfied!
Just buy it,Just what i needed. Fast shipping.,product (what I needed),other,positive,Thank you for highlighting the product (what i needed). We're glad you're satisfied!
Good Product,It is very easy to use and clean So far the food has been good,ease of use,functionality,positive,Thank you for highlighting the ease of use. We're glad you're satisfied!
Good Product,It is very easy to use and clean So far the food has been good,cleaning,other,positive,Thank you for highlighting the cleaning. We're glad you're satisfied!
Good Product,It is very easy to use and clean So far the food has been good,food quality,quality,positive,Thank you for highlighting the food quality. We're glad you're satisfied!
Fantastic,"Excellent quality. Easily on-par with much more expensive straps, and in some cases much better. This is my second W&W strap and it won’t be my last.",quality,quality,positive,Thank you for highlighting the quality. We're glad you're satisfied!
Fantastic,"Excellent quality. Easily on-par with much more expensive straps, and in some cases much better. This is my second W&W strap and it won’t be my last.",price,price,positive,Thank you for highlighting the price. We're glad you're satisfied!
Fantastic,"Excellent quality. Easily on-par with much more expensive straps, and in some cases much better. This is my second W&W strap and it won’t be my last.",durability,quality,positive,Thank you for highlighting the durability. We're glad you're satisfied!
Get a grip. literally,"Fits my huge hands well. a little awkward to clip on (you gotta thread the wrist strap through a hole in the bottom, and must be taken off to replace the batteries, but once they're on, they aren't moving.",Fits my huge hands well,other,positive,Thank you for highlighting the fits my huge hands well. We're glad you're satisfied!
Get a grip. literally,"Fits my huge hands well. a little awkward to clip on (you gotta thread the wrist strap through a hole in the bottom, and must be taken off to replace the batteries, but once they're on, they aren't moving.",a little awkward to clip on,other,neutral,Thank you for sharing your thoughts on the a little awkward to clip on.
Get a grip. literally,"Fits my huge hands well. a little awkward to clip on (you gotta thread the wrist strap through a hole in the bottom, and must be taken off to replace the batteries, but once they're on, they aren't moving.","must be taken off to replace the batteries, but once they're on, they aren't moving.",other,neutral,"Thank you for sharing your thoughts on the must be taken off to replace the batteries, but once they're on, they aren't moving.."
Easy to use.,It’s very handy. Light and easy to use.,handiness,other,positive,Thank you for highlighting the handiness. We're glad you're satisfied!
Easy to use.,It’s very handy. Light and easy to use.,lightness,other,positive,Thank you for highlighting the lightness. We're glad you're satisfied!
Easy to use.,It’s very handy. Light and easy to use.,ease of use,functionality,positive,Thank you for highlighting the ease of use. We're glad you're satisfied!
comfortable,works great,Performance,functionality,Positive,Thank you for sharing your thoughts on the performance.
"Great value, durable product","Bought for the overall value since a toddler bucket seat is on average $40-$50... and I'm very satisfied. The bucket seat is great quality, and now I have a spare swing, and my 6 year old loves the wheel spinning thing..",quality,quality,positive,Thank you for highlighting the quality. We're glad you're satisfied!
"Great value, durable product","Bought for the overall value since a toddler bucket seat is on average $40-$50... and I'm very satisfied. The bucket seat is great quality, and now I have a spare swing, and my 6 year old loves the wheel spinning thing..",value,price,positive,Thank you for highlighting the value. We're glad you're satisfied!
"Great value, durable product","Bought for the overall value since a toddler bucket seat is on average $40-$50... and I'm very satisfied. The bucket seat is great quality, and now I have a spare swing, and my 6 year old loves the wheel spinning thing..",spinning wheel,other,positive,Thank you for highlighting the spinning wheel. We're glad you're satisfied!
Love this Washi Tape & I will buy again,I love this Washi tape. I use it around the borders of my Diamond Paintings. It holds up very well. The colors are beautiful. I will be buying again.,Washi tape,other,positive,Thank you for highlighting the washi tape. We're glad you're satisfied!
Love this Washi Tape & I will buy again,I love this Washi tape. I use it around the borders of my Diamond Paintings. It holds up very well. The colors are beautiful. I will be buying again.,holding up well,other,positive,Thank you for highlighting the holding up well. We're glad you're satisfied!
Love this Washi Tape & I will buy again,I love this Washi tape. I use it around the borders of my Diamond Paintings. It holds up very well. The colors are beautiful. I will be buying again.,colors,appearance,positive,Thank you for highlighting the colors. We're glad you're satisfied!
"Worth the buy, but......",I wished it would have had a plastic covering to protect the photo I inserted.  Other than that it’s pretty nice.,photo protection,other,negative,We're sorry about the issues with photo protection. We'll work on improving this aspect!
"Worth the buy, but......",I wished it would have had a plastic covering to protect the photo I inserted.  Other than that it’s pretty nice.,product overall,other,positive,Thank you for highlighting the product overall. We're glad you're satisfied!
Perfectly bright!,Perfect gift for my teenage daughter who practices applying makeup.,gift,other,positive,Thank you for highlighting the gift. We're glad you're satisfied!
Perfectly bright!,Perfect gift for my teenage daughter who practices applying makeup.,makeup,other,neutral,Thank you for sharing your thoughts on the makeup.
Perfectly bright!,Perfect gift for my teenage daughter who practices applying makeup.,practicality (for teenage daughter),other,positive,Thank you for highlighting the practicality (for teenage daughter). We're glad you're satisfied!
I will be buying the black purse I love this,"I love the quality of this purse, and yes, I will buy the black one as well. It’s very sophisticated, it looks expensive it’s lightweight and very classy",quality,quality,positive,Thank you for highlighting the quality. We're glad you're satisfied!
I will be buying the black purse I love this,"I love the quality of this purse, and yes, I will buy the black one as well. It’s very sophisticated, it looks expensive it’s lightweight and very classy",sophisticated,other,positive,Thank you for highlighting the sophisticated. We're glad you're satisfied!
I will be buying the black purse I love this,"I love the quality of this purse, and yes, I will buy the black one as well. It’s very sophisticated, it looks expensive it’s lightweight and very classy",looks expensive,price,positive,Thank you for highlighting the looks expensive. We're glad you're satisfied!
I will be buying the black purse I love this,"I love the quality of this purse, and yes, I will buy the black one as well. It’s very sophisticated, it looks expensive it’s lightweight and very classy",lightweight,other,positive,Thank you for highlighting the lightweight. We're glad you're satisfied!
I will be buying the black purse I love this,"I love the quality of this purse, and yes, I will buy the black one as well. It’s very sophisticated, it looks expensive it’s lightweight and very classy",classy,other,positive,Thank you for highlighting the classy. We're glad you're satisfied!
Easy to use,"Good product, fast shipping,easy to use",product,other,positive,Thank you for highlighting the product. We're glad you're satisfied!
Easy to use,"Good product, fast shipping,easy to use",shipping,service,positive,Thank you for highlighting the shipping. We're glad you're satisfied!
Easy to use,"Good product, fast shipping,easy to use",ease of use,functionality,positive,Thank you for highlighting the ease of use. We're glad you're satisfied!
YAY!,I so appreciate taking 1/4  of a teaspoon of  Natural Vitality Calm #1 Selling Magnesium Citrate PLUS Calcium three times a day along with 1/4 of a teaspoon of Bragg's Apple Cider Vinegar. I highly recommend it to my loved ones. *Much Love* MV,Natural Vitality Calm #1 Selling Magnesium Citrate PLUS Calcium,other,positive,Thank you for highlighting the natural vitality calm #1 selling magnesium citrate plus calcium. We're glad you're satisfied!
YAY!,I so appreciate taking 1/4  of a teaspoon of  Natural Vitality Calm #1 Selling Magnesium Citrate PLUS Calcium three times a day along with 1/4 of a teaspoon of Bragg's Apple Cider Vinegar. I highly recommend it to my loved ones. *Much Love* MV,Bragg's Apple Cider Vinegar,other,positive,Thank you for highlighting the bragg's apple cider vinegar. We're glad you're satisfied!
YAY!,I so appreciate taking 1/4  of a teaspoon of  Natural Vitality Calm #1 Selling Magnesium Citrate PLUS Calcium three times a day along with 1/4 of a teaspoon of Bragg's Apple Cider Vinegar. I highly recommend it to my loved ones. *Much Love* MV,Recommendation to loved ones,other,positive,Thank you for highlighting the recommendation to loved ones. We're glad you're satisfied!
Best ever,Smells so good amd hair is shiny�,smell,other,positive,Thank you for highlighting the smell. We're glad you're satisfied!
Best ever,Smells so good amd hair is shiny�,hair shine,other,positive,Thank you for highlighting the hair shine. We're glad you're satisfied!
Still wondering where the bracelet is...,"I never received my free gift or the bracelet that was supposedly part of the package and what originally drew me to purchase this item out of the gate. The ring itself is of good quality and is comfortable to wear. I just wish for the money spent that the bracelet advertised with the item would have actually been included, because that was the deciding factor for me to purchase this item over others I had seen.",ring quality,quality,positive,Thank you for highlighting the ring quality. We're glad you're satisfied!
Still wondering where the bracelet is...,"I never received my free gift or the bracelet that was supposedly part of the package and what originally drew me to purchase this item out of the gate. The ring itself is of good quality and is comfortable to wear. I just wish for the money spent that the bracelet advertised with the item would have actually been included, because that was the deciding factor for me to purchase this item over others I had seen.",comfort to wear,comfort,positive,Thank you for highlighting the comfort to wear. We're glad you're satisfied!
Still wondering where the bracelet is...,"I never received my free gift or the bracelet that was supposedly part of the package and what originally drew me to purchase this item out of the gate. The ring itself is of good quality and is comfortable to wear. I just wish for the money spent that the bracelet advertised with the item would have actually been included, because that was the deciding factor for me to purchase this item over others I had seen.",free gift inclusion,other,negative,We're sorry about the issues with free gift inclusion. We'll work on improving this aspect!
Still wondering where the bracelet is...,"I never received my free gift or the bracelet that was supposedly part of the package and what originally drew me to purchase this item out of the gate. The ring itself is of good quality and is comfortable to wear. I just wish for the money spent that the bracelet advertised with the item would have actually been included, because that was the deciding factor for me to purchase this item over others I had seen.",bracelet inclusion in package,other,negative,We're sorry about the issues with bracelet inclusion in package. We'll work on improving this aspect!
Lights Don’t Last,"Easy to install, but adhesion ruins wall upon removal. Lights don’t last long with brand new batteries.",installation ease,other,positive,Thank you for highlighting the installation ease. We're glad you're satisfied!
Lights Don’t Last,"Easy to install, but adhesion ruins wall upon removal. Lights don’t last long with brand new batteries.",adhesion quality,quality,negative,We're sorry about the issues with adhesion quality. We'll work on improving this aspect!
Lights Don’t Last,"Easy to install, but adhesion ruins wall upon removal. Lights don’t last long with brand new batteries.",light longevity,other,negative,We're sorry about the issues with light longevity. We'll work on improving this aspect!
As advertised,"Simple, clean design, no defects. Easy to install.","Simple, clean design",quality,positive,"Thank you for highlighting the simple, clean design. We're glad you're satisfied!"
As advertised,"Simple, clean design, no defects. Easy to install.",no defects,other,positive,Thank you for highlighting the no defects. We're glad you're satisfied!
As advertised,"Simple, clean design, no defects. Easy to install.",Easy to install,other,positive,Thank you for highlighting the easy to install. We're glad you're satisfied!
