reviewTitle,reviewBody,title_sentiment,body_sentiment,title_aspects,title_sentiments,body_aspects,body_sentiments
Great,So easy to use and made my winter mornings so much quicker. It’s fast to install and easy to take take off. The video tutorial they have for this product was also very helpful.,positive,positive,['great'],{'great': 'positive'},"['helpful', 'tutorial', 'quicker', 'mornings', 'product', 'easy', 'much', 'winter', 's', 'video']","{'helpful': 'positive', 'tutorial': 'positive', 'quicker': 'positive', 'mornings': 'positive', 'product': 'positive', 'easy': 'positive', 'much': 'positive', 'winter': 'positive', 's': 'positive', 'video': 'positive'}"
Black garlic,"I like the product , I eat one every day great taste",neutral,positive,"['black', 'garlic']","{'black': 'neutral', 'garlic': 'neutral'}","['taste', 'product', 'day', 'great']","{'taste': 'positive', 'product': 'positive', 'day': 'positive', 'great': 'positive'}"
The black face mask looks exceptional.,Love the look of these face masks except for the colors. The black one is very nice & looks phenomenal. The other colors not so much.,neutral,positive,"['exceptional', 'mask', 'face', 'black']","{'exceptional': 'neutral', 'mask': 'neutral', 'face': 'neutral', 'black': 'neutral'}","['phenomenal', 'masks', 'face', 'one', 'much', 'black', 'colors', 'nice', 'other', 'look']","{'phenomenal': 'positive', 'masks': 'positive', 'face': 'positive', 'one': 'positive', 'much': 'positive', 'black': 'positive', 'colors': 'positive', 'nice': 'positive', 'other': 'positive', 'look': 'positive'}"
Broken,"Broken, not functioning. The string is cut so it won’t open. I will be returning it!!!",negative,negative,['broken'],{'broken': 'negative'},"['’', 'broken', 'string', 'open', 't']","{'’': 'negative', 'broken': 'negative', 'string': 'negative', 'open': 'negative', 't': 'negative'}"
Amazing,So I got the one size regular. I am 5’6 and 176 lbs. I also have a little baby pouch from having kids lol when I first looked at them upon delivery they looked small. I tried them on. There was some extra leg length that bunches up some but not bad. They’re extremely soft. They hid my pouch pretty well. I can also lift my legs high and squat with no feeling of gaining tightness on my legs or anywhere. So they are pretty stretchy as well. I’m happy with them.,neutral,positive,[],{},"['baby', 'legs', 'soft', 'm', 'happy', 'bad', 'delivery', 'squat', 'high', 'pouch', 'tightness', 'size', 'small', 'stretchy', 'feeling', 'regular', 'lbs', '’', 'little', 'extra', 'leg', 'kids', 'length']","{'baby': 'positive', 'legs': 'positive', 'soft': 'positive', 'm': 'positive', 'happy': 'positive', 'bad': 'positive', 'delivery': 'positive', 'squat': 'positive', 'high': 'positive', 'pouch': 'positive', 'tightness': 'positive', 'size': 'positive', 'small': 'positive', 'stretchy': 'positive', 'feeling': 'positive', 'regular': 'positive', 'lbs': 'positive', '’': 'positive', 'little': 'positive', 'extra': 'positive', 'leg': 'positive', 'kids': 'positive', 'length': 'positive'}"
Dry gas shiing,Works well,neutral,positive,"['dry', 'gas', 'shiing']","{'dry': 'neutral', 'gas': 'neutral', 'shiing': 'neutral'}",['works'],{'works': 'positive'}
Expensive for what you get,I use 9 gallons of water to fertilize all my succulents on the porch. One entire bottle is only good for 8 gallons.,neutral,positive,['expensive'],{'expensive': 'neutral'},"['gallons', 'water', 'good', 'bottle', 'succulents', 'porch', 'entire']","{'gallons': 'positive', 'water': 'positive', 'good': 'positive', 'bottle': 'positive', 'succulents': 'positive', 'porch': 'positive', 'entire': 'positive'}"
Perfect family beach towel,"This is the perfect beach towel! I wanted something large enough to fit me, my husband, and my young daughter comfortably, along with all of our beach gear that we want to protect from sand. It comes with stakes and packets to fill with sand to weigh it down, which is great so I don’t have to worry about putting something in each corner. I also intend to use this inside our beach tent to make it more waterproof. It’s light weight and small when packed up. A must-have for every beachgoer.",positive,positive,"['family', 'perfect', 'beach', 'towel']","{'family': 'positive', 'perfect': 'positive', 'beach': 'positive', 'towel': 'positive'}","['must-have', 'beach', 'daughter', 'weight', 'light', 'corner', 'large', 'tent', 't', 'stakes', 'young', 'waterproof', 'great', 'packets', 'small', 'perfect', 'beachgoer', 'something', 's', 'sand', 'husband', '’', 'towel', 'gear']","{'must-have': 'positive', 'beach': 'positive', 'daughter': 'positive', 'weight': 'positive', 'light': 'positive', 'corner': 'positive', 'large': 'positive', 'tent': 'positive', 't': 'positive', 'stakes': 'positive', 'young': 'positive', 'waterproof': 'positive', 'great': 'positive', 'packets': 'positive', 'small': 'positive', 'perfect': 'positive', 'beachgoer': 'positive', 'something': 'positive', 's': 'positive', 'sand': 'positive', 'husband': 'positive', '’': 'positive', 'towel': 'positive', 'gear': 'positive'}"
Not worth the money,I purchased this as a gift once the child received it it did not work it was poorly made and a waste of money. Wanted to return and it cost just as much to ship it back as the item itself.,negative,neutral,['money'],{'money': 'negative'},"['waste', 'gift', 'much', 'child', 'item', 'money']","{'waste': 'negative', 'gift': 'positive', 'much': 'neutral', 'child': 'neutral', 'item': 'neutral', 'money': 'neutral'}"
Did not fit,Bought this for 2014 Dodge Dart SXT and they did not fit.  Perhaps not compatible with alloy wheels?  They should specify wheel type in fit guide.,negative,negative,['did'],{'did': 'negative'},"['wheels', 'dart', 'fit', 'dodge', 'sxt', 'compatible', 'bought', 'guide', 'wheel', 'alloy', 'type']","{'wheels': 'negative', 'dart': 'negative', 'fit': 'negative', 'dodge': 'negative', 'sxt': 'negative', 'compatible': 'negative', 'bought': 'negative', 'guide': 'negative', 'wheel': 'negative', 'alloy': 'negative', 'type': 'negative'}"
Easy to clean,I love how durable the straws are and it's easy to clean. My children love the straws.  I normally use them at work to avoid displaying plastic straw.,positive,positive,['easy'],{'easy': 'positive'},"['straw', 'work', 'easy', 'children', 'straws', 'plastic', 'durable']","{'straw': 'positive', 'work': 'positive', 'easy': 'positive', 'children': 'positive', 'straws': 'positive', 'plastic': 'positive', 'durable': 'positive'}"
As advertised.,Excellent braze alloy. Will buy again.,neutral,positive,[],{},"['braze', 'alloy', 'excellent', 'will']","{'braze': 'positive', 'alloy': 'positive', 'excellent': 'positive', 'will': 'positive'}"
Can move around easily & charge will using oynjm,Love the length of this cord 10 ft.,positive,positive,['charge'],{'charge': 'positive'},"['cord', 'length', 'ft']","{'cord': 'positive', 'length': 'positive', 'ft': 'positive'}"
Proven in a 24hr adventure race,I wore these for a 24hr adventure race and was pleased. I was worried my backside would get overly sore with 90+ miles of biking but faired no worse than I’d expect to in fully padded bike shorts. They held up well over 30+ miles of trekking in that race with no chaffing or discomfort. I did wear UA boxer briefs underneath as I could feel the seam of the pad against my skin without them and didn’t want to risk irritation over that distance.,positive,negative,"['adventure', 'race']","{'adventure': 'positive', 'race': 'positive'}","['adventure', 'irritation', 'chaffing', 'biking', 't', 'pad', 'seam', 'briefs', 'backside', 'discomfort', 'worried', 'bike', 'skin', 'miles', 'shorts', 'ua', 'distance', '’', 'race', 'pleased', 'd', 'boxer']","{'adventure': 'negative', 'irritation': 'negative', 'chaffing': 'negative', 'biking': 'negative', 't': 'negative', 'pad': 'negative', 'seam': 'negative', 'briefs': 'negative', 'backside': 'negative', 'discomfort': 'negative', 'worried': 'negative', 'bike': 'negative', 'skin': 'negative', 'miles': 'negative', 'shorts': 'negative', 'ua': 'negative', 'distance': 'negative', '’': 'negative', 'race': 'negative', 'pleased': 'negative', 'd': 'negative', 'boxer': 'negative'}"
Great,Great! It works.,positive,positive,['great'],{'great': 'positive'},['great'],{'great': 'positive'}
Do not buy,Already fading to white.,neutral,neutral,['do'],{'do': 'neutral'},['white'],{'white': 'neutral'}
not as pictured,"I ordered this because the picture shows a splash guard with a cut out at the narrow end to hold the down spout.  The one that arrived did not have this feature and so, is of no use to me. Will be returning.",neutral,negative,[],{},"['cut', 'picture', 'one', 'guard', 'use', 'spout', 'feature', 'down', 'end', 'splash', 'narrow']","{'cut': 'negative', 'picture': 'negative', 'one': 'negative', 'guard': 'negative', 'use': 'negative', 'spout': 'negative', 'feature': 'negative', 'down': 'negative', 'end': 'negative', 'splash': 'negative', 'narrow': 'negative'}"
Just buy it,Just what i needed. Fast shipping.,neutral,neutral,[],{},"['i', 'shipping', 'fast']","{'i': 'neutral', 'shipping': 'neutral', 'fast': 'neutral'}"
Good Product,It is very easy to use and clean So far the food has been good,positive,positive,"['good', 'product']","{'good': 'positive', 'product': 'positive'}","['easy', 'food', 'good']","{'easy': 'positive', 'food': 'positive', 'good': 'positive'}"
Fantastic,"Excellent quality. Easily on-par with much more expensive straps, and in some cases much better. This is my second W&W strap and it won’t be my last.",positive,positive,['fantastic'],{'fantastic': 'positive'},"['quality', '’', 'excellent', 'cases', 'strap', 'last', 'straps', 'on-par', 'expensive', 'w', 't', 'second']","{'quality': 'positive', '’': 'positive', 'excellent': 'positive', 'cases': 'positive', 'strap': 'positive', 'last': 'positive', 'straps': 'positive', 'on-par': 'positive', 'expensive': 'positive', 'w': 'positive', 't': 'positive', 'second': 'positive'}"
Get a grip. literally,"Fits my huge hands well. a little awkward to clip on (you gotta thread the wrist strap through a hole in the bottom, and must be taken off to replace the batteries, but once they're on, they aren't moving.",neutral,positive,['grip'],{'grip': 'neutral'},"['huge', 'little', 'hands', 'strap', 'fits', 'awkward', 'wrist', 'ta', 'hole', 'bottom', 'batteries']","{'huge': 'positive', 'little': 'positive', 'hands': 'positive', 'strap': 'positive', 'fits': 'positive', 'awkward': 'positive', 'wrist': 'positive', 'ta': 'positive', 'hole': 'positive', 'bottom': 'positive', 'batteries': 'positive'}"
Easy to use.,It’s very handy. Light and easy to use.,positive,positive,['easy'],{'easy': 'positive'},"['s', 'easy', 'handy', 'light']","{'s': 'positive', 'easy': 'positive', 'handy': 'positive', 'light': 'positive'}"
comfortable,works great,positive,positive,['comfortable'],{'comfortable': 'positive'},"['great', 'works']","{'great': 'positive', 'works': 'positive'}"
"Great value, durable product","Bought for the overall value since a toddler bucket seat is on average $40-$50... and I'm very satisfied. The bucket seat is great quality, and now I have a spare swing, and my 6 year old loves the wheel spinning thing..",positive,positive,"['value', 'product', 'great', 'durable']","{'value': 'positive', 'product': 'positive', 'great': 'positive', 'durable': 'positive'}","['quality', 'spare', 'swing', 'old', '..', 'satisfied', 'thing', 'value', 'overall', 'bucket', 'bought', 'toddler', 'year', '40-', 'seat', 'average', 'wheel', 'great']","{'quality': 'positive', 'spare': 'positive', 'swing': 'positive', 'old': 'positive', '..': 'positive', 'satisfied': 'positive', 'thing': 'positive', 'value': 'positive', 'overall': 'positive', 'bucket': 'positive', 'bought': 'positive', 'toddler': 'positive', 'year': 'positive', '40-': 'positive', 'seat': 'positive', 'average': 'positive', 'wheel': 'positive', 'great': 'positive'}"
Love this Washi Tape & I will buy again,I love this Washi tape. I use it around the borders of my Diamond Paintings. It holds up very well. The colors are beautiful. I will be buying again.,positive,positive,"['washi', 'tape']","{'washi': 'positive', 'tape': 'positive'}","['borders', 'beautiful', 'paintings', 'washi', 'colors', 'diamond', 'tape']","{'borders': 'positive', 'beautiful': 'positive', 'paintings': 'positive', 'washi': 'positive', 'colors': 'positive', 'diamond': 'positive', 'tape': 'positive'}"
"Worth the buy, but......",I wished it would have had a plastic covering to protect the photo I inserted.  Other than that it’s pretty nice.,positive,positive,['buy'],{'buy': 'positive'},"['photo', 'pretty', 'other', 'plastic', 'nice', 's']","{'photo': 'positive', 'pretty': 'positive', 'other': 'positive', 'plastic': 'positive', 'nice': 'positive', 's': 'positive'}"
Perfectly bright!,Perfect gift for my teenage daughter who practices applying makeup.,positive,positive,['bright'],{'bright': 'positive'},"['teenage', 'makeup', 'daughter', 'perfect', 'gift', 'practices']","{'teenage': 'positive', 'makeup': 'positive', 'daughter': 'positive', 'perfect': 'positive', 'gift': 'positive', 'practices': 'positive'}"
I will be buying the black purse I love this,"I love the quality of this purse, and yes, I will buy the black one as well. It’s very sophisticated, it looks expensive it’s lightweight and very classy",positive,positive,"['black', 'purse']","{'black': 'positive', 'purse': 'positive'}","['sophisticated', 'quality', 'classy', 'one', 'lightweight', 'black', 's', 'expensive', 'purse']","{'sophisticated': 'positive', 'quality': 'positive', 'classy': 'positive', 'one': 'positive', 'lightweight': 'positive', 'black': 'positive', 's': 'positive', 'expensive': 'positive', 'purse': 'positive'}"
Easy to use,"Good product, fast shipping,easy to use",positive,positive,['easy'],{'easy': 'positive'},"['easy', 'good', 'shipping', 'product']","{'easy': 'positive', 'good': 'positive', 'shipping': 'positive', 'product': 'positive'}"
YAY!,I so appreciate taking 1/4  of a teaspoon of  Natural Vitality Calm #1 Selling Magnesium Citrate PLUS Calcium three times a day along with 1/4 of a teaspoon of Bragg's Apple Cider Vinegar. I highly recommend it to my loved ones. *Much Love* MV,positive,positive,['yay'],{'yay': 'positive'},"['magnesium', 'ones', 'love', 'vitality', 'cider', 'natural', 'appreciate', 'loved', 'citrate', 'apple', 'bragg', 'much', 'calcium', 'mv', 'times', 'teaspoon', 'day', '*', 'plus', 'vinegar', 'calm']","{'magnesium': 'positive', 'ones': 'positive', 'love': 'positive', 'vitality': 'positive', 'cider': 'positive', 'natural': 'positive', 'appreciate': 'positive', 'loved': 'positive', 'citrate': 'positive', 'apple': 'positive', 'bragg': 'positive', 'much': 'positive', 'calcium': 'positive', 'mv': 'positive', 'times': 'positive', 'teaspoon': 'positive', 'day': 'positive', '*': 'positive', 'plus': 'positive', 'vinegar': 'positive', 'calm': 'positive'}"
Best ever,Smells so good amd hair is shiny�,neutral,positive,[],{},"['smells', 'good', 'hair', 'shiny�', 'amd']","{'smells': 'positive', 'good': 'positive', 'hair': 'positive', 'shiny�': 'positive', 'amd': 'positive'}"
Still wondering where the bracelet is...,"I never received my free gift or the bracelet that was supposedly part of the package and what originally drew me to purchase this item out of the gate. The ring itself is of good quality and is comfortable to wear. I just wish for the money spent that the bracelet advertised with the item would have actually been included, because that was the deciding factor for me to purchase this item over others I had seen.",neutral,positive,['bracelet'],{'bracelet': 'neutral'},"['quality', 'package', 'gift', 'good', 'others', 'factor', 'part', 'item', 'gate', 'money', 'comfortable', 'spent', 'deciding', 'free', 'bracelet']","{'quality': 'positive', 'package': 'positive', 'gift': 'positive', 'good': 'positive', 'others': 'positive', 'factor': 'positive', 'part': 'positive', 'item': 'positive', 'gate': 'positive', 'money': 'positive', 'comfortable': 'positive', 'spent': 'positive', 'deciding': 'positive', 'free': 'positive', 'bracelet': 'positive'}"
Lights Don’t Last,"Easy to install, but adhesion ruins wall upon removal. Lights don’t last long with brand new batteries.",neutral,negative,"['don', '’', 'lights', 'last', 't']","{'don': 'neutral', '’': 'neutral', 'lights': 'neutral', 'last': 'neutral', 't': 'neutral'}","['’', 'wall', 'removal', 'adhesion', 'easy', 'lights', 'last', 'brand', 'new', 'batteries', 'long', 't']","{'’': 'negative', 'wall': 'negative', 'removal': 'negative', 'adhesion': 'negative', 'easy': 'positive', 'lights': 'negative', 'last': 'negative', 'brand': 'negative', 'new': 'negative', 'batteries': 'negative', 'long': 'negative', 't': 'negative'}"
As advertised,"Simple, clean design, no defects. Easy to install.",neutral,positive,['advertised'],{'advertised': 'neutral'},"['defects', 'clean', 'easy', 'design', 'simple']","{'defects': 'negative', 'clean': 'positive', 'easy': 'positive', 'design': 'positive', 'simple': 'positive'}"
Think I got a defect,"Had a pair before, great headphones and very comfortable.  What else can you say about AirPods.",negative,positive,['defect'],{'defect': 'negative'},"['headphones', 'airpods', 'comfortable', 'pair', 'great']","{'headphones': 'positive', 'airpods': 'positive', 'comfortable': 'positive', 'pair': 'positive', 'great': 'positive'}"
Great value,Works great for the price! It was a little bulky but not heavy. Good for camping.,positive,negative,"['value', 'great']","{'value': 'positive', 'great': 'positive'}","['little', 'good', 'price', 'great', 'heavy', 'bulky']","{'little': 'negative', 'good': 'positive', 'price': 'negative', 'great': 'positive', 'heavy': 'negative', 'bulky': 'negative'}"
Is good to buy it,I really do like and it worki really good,positive,positive,['good'],{'good': 'positive'},['good'],{'good': 'positive'}
Nice deal,"Mats work nice using for dead lifts, protects floor from damage",positive,negative,"['nice', 'deal']","{'nice': 'positive', 'deal': 'positive'}","['damage', 'mats', 'work', 'dead', 'floor', 'lifts']","{'damage': 'negative', 'mats': 'negative', 'work': 'negative', 'dead': 'negative', 'floor': 'negative', 'lifts': 'negative'}"
Dead in 2 months,Seemed to work pretty good but I’ve had this for about two months and only used it to sharpen my kitchen knives and it’s already dead. Unit seemed to run rather hot tbh. Went to sharpen my knife set and I got through two before a strong smell of melting plastic paired with extreme heat caused the unit to fail.,negative,positive,"['dead', 'months']","{'dead': 'negative', 'months': 'negative'}","['’', 'heat', 'knives', 'months', 'went', 'good', 'dead', 'tbh', 'knife', 'strong', 'extreme', 'unit', 'plastic', 'hot', 'smell', 'kitchen']","{'’': 'positive', 'heat': 'positive', 'knives': 'positive', 'months': 'positive', 'went': 'positive', 'good': 'positive', 'dead': 'negative', 'tbh': 'positive', 'knife': 'positive', 'strong': 'positive', 'extreme': 'positive', 'unit': 'positive', 'plastic': 'positive', 'hot': 'positive', 'smell': 'positive', 'kitchen': 'positive'}"
Decent and works,Easy to install but thought it tilted left and right. Works perfectly for the bedroom.,neutral,positive,"['decent', 'works']","{'decent': 'neutral', 'works': 'neutral'}","['easy', 'bedroom', 'right']","{'easy': 'positive', 'bedroom': 'positive', 'right': 'positive'}"
Perfect attire for end of the day!,The best outfit for the end of the day..soft and comfy!,positive,positive,"['attire', 'perfect', 'end', 'day']","{'attire': 'positive', 'perfect': 'positive', 'end': 'positive', 'day': 'positive'}","['soft', '..', 'comfy', 'day', 'end', 'outfit']","{'soft': 'positive', '..': 'positive', 'comfy': 'positive', 'day': 'positive', 'end': 'positive', 'outfit': 'positive'}"
Great mascara for the price!,I'll definitely purchase this product again.  It stays on really well. The only issue I have is that it's not pretty to take off.  I look like I have 2 black eyes when I go to wash my face even when using an eye makeup remover prior to washing.  Other than that it's a great product!,positive,positive,"['price', 'great', 'mascara']","{'price': 'positive', 'great': 'positive', 'mascara': 'positive'}","['eyes', 'makeup', 'issue', 'only', 'face', 'product', 'eye', 'pretty', 'black', 'other', 'great']","{'eyes': 'positive', 'makeup': 'positive', 'issue': 'positive', 'only': 'positive', 'face': 'positive', 'product': 'positive', 'eye': 'positive', 'pretty': 'positive', 'black': 'positive', 'other': 'positive', 'great': 'positive'}"
Very cute and hopefully we use it someday!,"It’s very compact and easy to clean. The design is super cute. However, my toddler refuses to sit on it, because she’s terrified of “the big potty.” I’m hoping in time we will use it more but I think it’s a great product for the price.",positive,positive,"['someday', 'cute']","{'someday': 'positive', 'cute': 'positive'}","['potty.', 'super', 'm', 'product', '”', 'design', 'compact', 'easy', 'terrified', 'cute', 'toddler', 's', 'price', 'big', 'great', 'time']","{'potty.': 'positive', 'super': 'positive', 'm': 'positive', 'product': 'positive', '”': 'positive', 'design': 'positive', 'compact': 'positive', 'easy': 'positive', 'terrified': 'positive', 'cute': 'positive', 'toddler': 'positive', 's': 'positive', 'price': 'positive', 'big': 'positive', 'great': 'positive', 'time': 'positive'}"
Dad likes it.,"Bought this for my dad and he's happy with it. I was a little concerned, because it didn't expand most of the way when unwrapped but he said it did expand to fill the cover by the next day.",positive,negative,['dad'],{'dad': 'positive'},"['little', 'happy', 'unwrapped', 'way', 'day', 'bought', 'next', 'concerned', 'dad', 'cover']","{'little': 'negative', 'happy': 'positive', 'unwrapped': 'negative', 'way': 'negative', 'day': 'negative', 'bought': 'negative', 'next': 'negative', 'concerned': 'negative', 'dad': 'negative', 'cover': 'negative'}"
Stream from duck’s bill is tiny.,"The only aspect that was disappointing was the size of the stream from the ducks bill, tiny and beyond tiny. My cat loves to drink from the bottom of the fountain but not the stream. He likes to drink from the bathroom faucet so i thought he would on this. Maybe he can’t see the timy stream!",neutral,positive,"['stream', '’', 'tiny', 'duck', 'bill', 's']","{'stream': 'neutral', '’': 'neutral', 'tiny': 'neutral', 'duck': 'neutral', 'bill': 'neutral', 's': 'neutral'}","['i', 'stream', 'aspect', 'cat', 'size', 'ducks', 'faucet', 'only', 'tiny', 't', 'fountain', 'bill', 'bottom', 'timy', 'bathroom', 'thought']","{'i': 'positive', 'stream': 'positive', 'aspect': 'positive', 'cat': 'positive', 'size': 'positive', 'ducks': 'positive', 'faucet': 'positive', 'only': 'positive', 'tiny': 'positive', 't': 'positive', 'fountain': 'positive', 'bill': 'positive', 'bottom': 'positive', 'timy': 'positive', 'bathroom': 'positive', 'thought': 'positive'}"
Nice Quality,"Nice quality, effective and durable",positive,positive,"['quality', 'nice']","{'quality': 'positive', 'nice': 'positive'}","['quality', 'nice', 'effective', 'durable']","{'quality': 'positive', 'nice': 'positive', 'effective': 'positive', 'durable': 'positive'}"
Fall Pumpkin Sets!！,Very good value set. You get so much! So many different colored pumpkins. And the garland vine is very full and the leaves are very life-like. Would definitely recommend. Provided a photo when I was testing out the dining table.,neutral,positive,"['fall', 'pumpkin', '！']","{'fall': 'neutral', 'pumpkin': 'neutral', '！': 'neutral'}","['table', 'different', 'photo', 'good', 'pumpkins', 'life-like', 'vine', 'leaves', 'value', 'much', 'full', 'garland', 'many']","{'table': 'positive', 'different': 'positive', 'photo': 'positive', 'good': 'positive', 'pumpkins': 'positive', 'life-like': 'positive', 'vine': 'positive', 'leaves': 'positive', 'value': 'positive', 'much': 'positive', 'full': 'positive', 'garland': 'positive', 'many': 'positive'}"
Cheap price Cheap audio.,"I have never had good thing to say about Beats audio equipment. I have always thought they were over priced and poor quality. These fall under that same category. Even with the provided different ear bud foam sizes, they don't stay in your ears. The sound quality is real bad, especially at higher volumes. The bass gets distorted.",neutral,negative,"['cheap', 'price', 'audio']","{'cheap': 'neutral', 'price': 'neutral', 'audio': 'neutral'}","['good', 'volumes', 'bad', 'bud', 'provided', 'bass', 'beats', 'foam', 'fall', 'quality', 'sound', 'different', 'same', 'thing', 'equipment', 'ear', 'real', 'poor', 'audio', 'sizes', 'ears', 'category']","{'good': 'negative', 'volumes': 'negative', 'bad': 'negative', 'bud': 'negative', 'provided': 'negative', 'bass': 'negative', 'beats': 'negative', 'foam': 'negative', 'fall': 'negative', 'quality': 'negative', 'sound': 'negative', 'different': 'negative', 'same': 'negative', 'thing': 'negative', 'equipment': 'negative', 'ear': 'negative', 'real': 'negative', 'poor': 'negative', 'audio': 'negative', 'sizes': 'negative', 'ears': 'negative', 'category': 'negative'}"
Very good,I really like this. The audio is clear and crispy. Easy to set up. The only complaint is that the stand is sometimes annoying (it is hard to make it stand up without falling),positive,positive,['good'],{'good': 'positive'},"['crispy', 'clear', 'audio', 'only', 'stand', 'easy', 'complaint', 'hard']","{'crispy': 'positive', 'clear': 'positive', 'audio': 'positive', 'only': 'positive', 'stand': 'positive', 'easy': 'positive', 'complaint': 'positive', 'hard': 'positive'}"
