reviewTitle,reviewBody,aspect,categorized_aspect,sentiment
love this cup,Perfect for  cup of tea,cup of tea,other,positive
Colorful and looks nice on my front porch.,Perfect for what I needed.,product performance,functionality,neutral
Size,"Great for small kitchens, highly effective (:",small kitchens,other,positive
Size,"Great for small kitchens, highly effective (:",highly effective,other,positive
Great hat,Great hat,hat,other,positive
Overall a beautiful puzzle,"Love him!! Been waiting to get him for a while and now he's finally part of my collection. I say it's easy to assemble because of experience, if you're a first-timer for the Crystal Puzzles he might be a little easy to do, just depends. Arrived within two days of shipping and he's a beautiful light ocean blue, stands out from a lot of the main colored puzzles I have.",product quality,quality,positive
Overall a beautiful puzzle,"Love him!! Been waiting to get him for a while and now he's finally part of my collection. I say it's easy to assemble because of experience, if you're a first-timer for the Crystal Puzzles he might be a little easy to do, just depends. Arrived within two days of shipping and he's a beautiful light ocean blue, stands out from a lot of the main colored puzzles I have.",shipping time,service,positive
Overall a beautiful puzzle,"Love him!! Been waiting to get him for a while and now he's finally part of my collection. I say it's easy to assemble because of experience, if you're a first-timer for the Crystal Puzzles he might be a little easy to do, just depends. Arrived within two days of shipping and he's a beautiful light ocean blue, stands out from a lot of the main colored puzzles I have.",ease of assembly,other,neutral
Overall a beautiful puzzle,"Love him!! Been waiting to get him for a while and now he's finally part of my collection. I say it's easy to assemble because of experience, if you're a first-timer for the Crystal Puzzles he might be a little easy to do, just depends. Arrived within two days of shipping and he's a beautiful light ocean blue, stands out from a lot of the main colored puzzles I have.",color,appearance,positive
For everyone who loves maple syrup,Love the flavor. This is the first real great tasting sugar-free maple syrup that I have ever bought.,flavor,other,positive
For everyone who loves maple syrup,Love the flavor. This is the first real great tasting sugar-free maple syrup that I have ever bought.,product (maple syrup),other,positive
Great,So easy to use and made my winter mornings so much quicker. It’s fast to install and easy to take take off. The video tutorial they have for this product was also very helpful.,ease of use,functionality,positive
Great,So easy to use and made my winter mornings so much quicker. It’s fast to install and easy to take take off. The video tutorial they have for this product was also very helpful.,installation speed,other,positive
Great,So easy to use and made my winter mornings so much quicker. It’s fast to install and easy to take take off. The video tutorial they have for this product was also very helpful.,taking off,other,positive
Great,So easy to use and made my winter mornings so much quicker. It’s fast to install and easy to take take off. The video tutorial they have for this product was also very helpful.,video tutorial,other,positive
Black garlic,"I like the product , I eat one every day great taste",taste,other,positive
Black garlic,"I like the product , I eat one every day great taste",product (general),other,positive
The black face mask looks exceptional.,Love the look of these face masks except for the colors. The black one is very nice & looks phenomenal. The other colors not so much.,look,appearance,positive
The black face mask looks exceptional.,Love the look of these face masks except for the colors. The black one is very nice & looks phenomenal. The other colors not so much.,colors,appearance,neutral
The black face mask looks exceptional.,Love the look of these face masks except for the colors. The black one is very nice & looks phenomenal. The other colors not so much.,black one's color,appearance,positive
The black face mask looks exceptional.,Love the look of these face masks except for the colors. The black one is very nice & looks phenomenal. The other colors not so much.,other colors,appearance,negative
Broken,"Broken, not functioning. The string is cut so it won’t open. I will be returning it!!!",functionality,functionality,negative
Broken,"Broken, not functioning. The string is cut so it won’t open. I will be returning it!!!",product quality,quality,negative
Broken,"Broken, not functioning. The string is cut so it won’t open. I will be returning it!!!",string quality,quality,negative
Amazing,So I got the one size regular. I am 5’6 and 176 lbs. I also have a little baby pouch from having kids lol when I first looked at them upon delivery they looked small. I tried them on. There was some extra leg length that bunches up some but not bad. They’re extremely soft. They hid my pouch pretty well. I can also lift my legs high and squat with no feeling of gaining tightness on my legs or anywhere. So they are pretty stretchy as well. I’m happy with them.,softness,other,positive
Amazing,So I got the one size regular. I am 5’6 and 176 lbs. I also have a little baby pouch from having kids lol when I first looked at them upon delivery they looked small. I tried them on. There was some extra leg length that bunches up some but not bad. They’re extremely soft. They hid my pouch pretty well. I can also lift my legs high and squat with no feeling of gaining tightness on my legs or anywhere. So they are pretty stretchy as well. I’m happy with them.,fit for pouch,other,positive
Amazing,So I got the one size regular. I am 5’6 and 176 lbs. I also have a little baby pouch from having kids lol when I first looked at them upon delivery they looked small. I tried them on. There was some extra leg length that bunches up some but not bad. They’re extremely soft. They hid my pouch pretty well. I can also lift my legs high and squat with no feeling of gaining tightness on my legs or anywhere. So they are pretty stretchy as well. I’m happy with them.,stretchiness,other,positive
Amazing,So I got the one size regular. I am 5’6 and 176 lbs. I also have a little baby pouch from having kids lol when I first looked at them upon delivery they looked small. I tried them on. There was some extra leg length that bunches up some but not bad. They’re extremely soft. They hid my pouch pretty well. I can also lift my legs high and squat with no feeling of gaining tightness on my legs or anywhere. So they are pretty stretchy as well. I’m happy with them.,leg length,other,neutral
Dry gas shiing,Works well,functionality,functionality,positive
Expensive for what you get,I use 9 gallons of water to fertilize all my succulents on the porch. One entire bottle is only good for 8 gallons.,water capacity,other,negative
Expensive for what you get,I use 9 gallons of water to fertilize all my succulents on the porch. One entire bottle is only good for 8 gallons.,value for money,price,negative
Perfect family beach towel,"This is the perfect beach towel! I wanted something large enough to fit me, my husband, and my young daughter comfortably, along with all of our beach gear that we want to protect from sand. It comes with stakes and packets to fill with sand to weigh it down, which is great so I don’t have to worry about putting something in each corner. I also intend to use this inside our beach tent to make it more waterproof. It’s light weight and small when packed up. A must-have for every beachgoer.",large enough to fit family and beach gear comfortably,comfort,positive
Perfect family beach towel,"This is the perfect beach towel! I wanted something large enough to fit me, my husband, and my young daughter comfortably, along with all of our beach gear that we want to protect from sand. It comes with stakes and packets to fill with sand to weigh it down, which is great so I don’t have to worry about putting something in each corner. I also intend to use this inside our beach tent to make it more waterproof. It’s light weight and small when packed up. A must-have for every beachgoer.",comes with stakes and packets for weighing down,other,positive
Perfect family beach towel,"This is the perfect beach towel! I wanted something large enough to fit me, my husband, and my young daughter comfortably, along with all of our beach gear that we want to protect from sand. It comes with stakes and packets to fill with sand to weigh it down, which is great so I don’t have to worry about putting something in each corner. I also intend to use this inside our beach tent to make it more waterproof. It’s light weight and small when packed up. A must-have for every beachgoer.",light weight and small when packed up,other,positive
Perfect family beach towel,"This is the perfect beach towel! I wanted something large enough to fit me, my husband, and my young daughter comfortably, along with all of our beach gear that we want to protect from sand. It comes with stakes and packets to fill with sand to weigh it down, which is great so I don’t have to worry about putting something in each corner. I also intend to use this inside our beach tent to make it more waterproof. It’s light weight and small when packed up. A must-have for every beachgoer.",intended use inside beach tent makes it waterproof,functionality,positive
Not worth the money,I purchased this as a gift once the child received it it did not work it was poorly made and a waste of money. Wanted to return and it cost just as much to ship it back as the item itself.,quality,quality,negative
Not worth the money,I purchased this as a gift once the child received it it did not work it was poorly made and a waste of money. Wanted to return and it cost just as much to ship it back as the item itself.,price,price,negative
Not worth the money,I purchased this as a gift once the child received it it did not work it was poorly made and a waste of money. Wanted to return and it cost just as much to ship it back as the item itself.,return policy,other,negative
Did not fit,Bought this for 2014 Dodge Dart SXT and they did not fit.  Perhaps not compatible with alloy wheels?  They should specify wheel type in fit guide.,fit,other,negative
Did not fit,Bought this for 2014 Dodge Dart SXT and they did not fit.  Perhaps not compatible with alloy wheels?  They should specify wheel type in fit guide.,product specification (wheel type),other,neutral
Easy to clean,I love how durable the straws are and it's easy to clean. My children love the straws.  I normally use them at work to avoid displaying plastic straw.,durable straws,other,positive
Easy to clean,I love how durable the straws are and it's easy to clean. My children love the straws.  I normally use them at work to avoid displaying plastic straw.,easy to clean,other,positive
Easy to clean,I love how durable the straws are and it's easy to clean. My children love the straws.  I normally use them at work to avoid displaying plastic straw.,children's preference,other,positive
Easy to clean,I love how durable the straws are and it's easy to clean. My children love the straws.  I normally use them at work to avoid displaying plastic straw.,usefulness at work,functionality,positive
As advertised.,Excellent braze alloy. Will buy again.,braze alloy,other,positive
As advertised.,Excellent braze alloy. Will buy again.,price (implied),price,positive
Can move around easily & charge will using oynjm,Love the length of this cord 10 ft.,length,other,positive
Proven in a 24hr adventure race,I wore these for a 24hr adventure race and was pleased. I was worried my backside would get overly sore with 90+ miles of biking but faired no worse than I’d expect to in fully padded bike shorts. They held up well over 30+ miles of trekking in that race with no chaffing or discomfort. I did wear UA boxer briefs underneath as I could feel the seam of the pad against my skin without them and didn’t want to risk irritation over that distance.,performance in biking,functionality,positive
Proven in a 24hr adventure race,I wore these for a 24hr adventure race and was pleased. I was worried my backside would get overly sore with 90+ miles of biking but faired no worse than I’d expect to in fully padded bike shorts. They held up well over 30+ miles of trekking in that race with no chaffing or discomfort. I did wear UA boxer briefs underneath as I could feel the seam of the pad against my skin without them and didn’t want to risk irritation over that distance.,comfort during trekking,comfort,positive
Proven in a 24hr adventure race,I wore these for a 24hr adventure race and was pleased. I was worried my backside would get overly sore with 90+ miles of biking but faired no worse than I’d expect to in fully padded bike shorts. They held up well over 30+ miles of trekking in that race with no chaffing or discomfort. I did wear UA boxer briefs underneath as I could feel the seam of the pad against my skin without them and didn’t want to risk irritation over that distance.,preventing chafing and discomfort,comfort,positive
Proven in a 24hr adventure race,I wore these for a 24hr adventure race and was pleased. I was worried my backside would get overly sore with 90+ miles of biking but faired no worse than I’d expect to in fully padded bike shorts. They held up well over 30+ miles of trekking in that race with no chaffing or discomfort. I did wear UA boxer briefs underneath as I could feel the seam of the pad against my skin without them and didn’t want to risk irritation over that distance.,padding comfort without underwear,comfort,neutral
Great,Great! It works.,functionality,functionality,positive
Do not buy,Already fading to white.,color,appearance,negative
not as pictured,"I ordered this because the picture shows a splash guard with a cut out at the narrow end to hold the down spout.  The one that arrived did not have this feature and so, is of no use to me. Will be returning.",product description accuracy,other,negative
not as pictured,"I ordered this because the picture shows a splash guard with a cut out at the narrow end to hold the down spout.  The one that arrived did not have this feature and so, is of no use to me. Will be returning.",product functionality,functionality,negative
Just buy it,Just what i needed. Fast shipping.,shipping,service,positive
Just buy it,Just what i needed. Fast shipping.,product (what I needed),other,positive
Good Product,It is very easy to use and clean So far the food has been good,ease of use,functionality,positive
Good Product,It is very easy to use and clean So far the food has been good,cleaning,other,positive
Good Product,It is very easy to use and clean So far the food has been good,food quality,quality,positive
Fantastic,"Excellent quality. Easily on-par with much more expensive straps, and in some cases much better. This is my second W&W strap and it won’t be my last.",quality,quality,positive
Fantastic,"Excellent quality. Easily on-par with much more expensive straps, and in some cases much better. This is my second W&W strap and it won’t be my last.",price,price,positive
Fantastic,"Excellent quality. Easily on-par with much more expensive straps, and in some cases much better. This is my second W&W strap and it won’t be my last.",durability,quality,positive
Get a grip. literally,"Fits my huge hands well. a little awkward to clip on (you gotta thread the wrist strap through a hole in the bottom, and must be taken off to replace the batteries, but once they're on, they aren't moving.",Fits my huge hands well,other,positive
Get a grip. literally,"Fits my huge hands well. a little awkward to clip on (you gotta thread the wrist strap through a hole in the bottom, and must be taken off to replace the batteries, but once they're on, they aren't moving.",a little awkward to clip on,other,neutral
Get a grip. literally,"Fits my huge hands well. a little awkward to clip on (you gotta thread the wrist strap through a hole in the bottom, and must be taken off to replace the batteries, but once they're on, they aren't moving.","must be taken off to replace the batteries, but once they're on, they aren't moving.",other,neutral
Easy to use.,It’s very handy. Light and easy to use.,handiness,other,positive
Easy to use.,It’s very handy. Light and easy to use.,lightness,other,positive
Easy to use.,It’s very handy. Light and easy to use.,ease of use,functionality,positive
comfortable,works great,Performance,functionality,Positive
"Great value, durable product","Bought for the overall value since a toddler bucket seat is on average $40-$50... and I'm very satisfied. The bucket seat is great quality, and now I have a spare swing, and my 6 year old loves the wheel spinning thing..",quality,quality,positive
"Great value, durable product","Bought for the overall value since a toddler bucket seat is on average $40-$50... and I'm very satisfied. The bucket seat is great quality, and now I have a spare swing, and my 6 year old loves the wheel spinning thing..",value,price,positive
"Great value, durable product","Bought for the overall value since a toddler bucket seat is on average $40-$50... and I'm very satisfied. The bucket seat is great quality, and now I have a spare swing, and my 6 year old loves the wheel spinning thing..",spinning wheel,other,positive
Love this Washi Tape & I will buy again,I love this Washi tape. I use it around the borders of my Diamond Paintings. It holds up very well. The colors are beautiful. I will be buying again.,Washi tape,other,positive
Love this Washi Tape & I will buy again,I love this Washi tape. I use it around the borders of my Diamond Paintings. It holds up very well. The colors are beautiful. I will be buying again.,holding up well,other,positive
Love this Washi Tape & I will buy again,I love this Washi tape. I use it around the borders of my Diamond Paintings. It holds up very well. The colors are beautiful. I will be buying again.,colors,appearance,positive
"Worth the buy, but......",I wished it would have had a plastic covering to protect the photo I inserted.  Other than that it’s pretty nice.,photo protection,other,negative
"Worth the buy, but......",I wished it would have had a plastic covering to protect the photo I inserted.  Other than that it’s pretty nice.,product overall,other,positive
Perfectly bright!,Perfect gift for my teenage daughter who practices applying makeup.,gift,other,positive
Perfectly bright!,Perfect gift for my teenage daughter who practices applying makeup.,makeup,other,neutral
Perfectly bright!,Perfect gift for my teenage daughter who practices applying makeup.,practicality (for teenage daughter),other,positive
I will be buying the black purse I love this,"I love the quality of this purse, and yes, I will buy the black one as well. It’s very sophisticated, it looks expensive it’s lightweight and very classy",quality,quality,positive
I will be buying the black purse I love this,"I love the quality of this purse, and yes, I will buy the black one as well. It’s very sophisticated, it looks expensive it’s lightweight and very classy",sophisticated,other,positive
I will be buying the black purse I love this,"I love the quality of this purse, and yes, I will buy the black one as well. It’s very sophisticated, it looks expensive it’s lightweight and very classy",looks expensive,price,positive
I will be buying the black purse I love this,"I love the quality of this purse, and yes, I will buy the black one as well. It’s very sophisticated, it looks expensive it’s lightweight and very classy",lightweight,other,positive
I will be buying the black purse I love this,"I love the quality of this purse, and yes, I will buy the black one as well. It’s very sophisticated, it looks expensive it’s lightweight and very classy",classy,other,positive
Easy to use,"Good product, fast shipping,easy to use",product,other,positive
Easy to use,"Good product, fast shipping,easy to use",shipping,service,positive
Easy to use,"Good product, fast shipping,easy to use",ease of use,functionality,positive
YAY!,I so appreciate taking 1/4  of a teaspoon of  Natural Vitality Calm #1 Selling Magnesium Citrate PLUS Calcium three times a day along with 1/4 of a teaspoon of Bragg's Apple Cider Vinegar. I highly recommend it to my loved ones. *Much Love* MV,Natural Vitality Calm #1 Selling Magnesium Citrate PLUS Calcium,other,positive
YAY!,I so appreciate taking 1/4  of a teaspoon of  Natural Vitality Calm #1 Selling Magnesium Citrate PLUS Calcium three times a day along with 1/4 of a teaspoon of Bragg's Apple Cider Vinegar. I highly recommend it to my loved ones. *Much Love* MV,Bragg's Apple Cider Vinegar,other,positive
YAY!,I so appreciate taking 1/4  of a teaspoon of  Natural Vitality Calm #1 Selling Magnesium Citrate PLUS Calcium three times a day along with 1/4 of a teaspoon of Bragg's Apple Cider Vinegar. I highly recommend it to my loved ones. *Much Love* MV,Recommendation to loved ones,other,positive
Best ever,Smells so good amd hair is shiny�,smell,other,positive
Best ever,Smells so good amd hair is shiny�,hair shine,other,positive
Still wondering where the bracelet is...,"I never received my free gift or the bracelet that was supposedly part of the package and what originally drew me to purchase this item out of the gate. The ring itself is of good quality and is comfortable to wear. I just wish for the money spent that the bracelet advertised with the item would have actually been included, because that was the deciding factor for me to purchase this item over others I had seen.",ring quality,quality,positive
Still wondering where the bracelet is...,"I never received my free gift or the bracelet that was supposedly part of the package and what originally drew me to purchase this item out of the gate. The ring itself is of good quality and is comfortable to wear. I just wish for the money spent that the bracelet advertised with the item would have actually been included, because that was the deciding factor for me to purchase this item over others I had seen.",comfort to wear,comfort,positive
Still wondering where the bracelet is...,"I never received my free gift or the bracelet that was supposedly part of the package and what originally drew me to purchase this item out of the gate. The ring itself is of good quality and is comfortable to wear. I just wish for the money spent that the bracelet advertised with the item would have actually been included, because that was the deciding factor for me to purchase this item over others I had seen.",free gift inclusion,other,negative
Still wondering where the bracelet is...,"I never received my free gift or the bracelet that was supposedly part of the package and what originally drew me to purchase this item out of the gate. The ring itself is of good quality and is comfortable to wear. I just wish for the money spent that the bracelet advertised with the item would have actually been included, because that was the deciding factor for me to purchase this item over others I had seen.",bracelet inclusion in package,other,negative
Lights Don’t Last,"Easy to install, but adhesion ruins wall upon removal. Lights don’t last long with brand new batteries.",installation ease,other,positive
Lights Don’t Last,"Easy to install, but adhesion ruins wall upon removal. Lights don’t last long with brand new batteries.",adhesion quality,quality,negative
Lights Don’t Last,"Easy to install, but adhesion ruins wall upon removal. Lights don’t last long with brand new batteries.",light longevity,other,negative
As advertised,"Simple, clean design, no defects. Easy to install.","Simple, clean design",quality,positive
As advertised,"Simple, clean design, no defects. Easy to install.",no defects,other,positive
As advertised,"Simple, clean design, no defects. Easy to install.",Easy to install,other,positive
Think I got a defect,"Had a pair before, great headphones and very comfortable.  What else can you say about AirPods.",headphones,other,positive
Think I got a defect,"Had a pair before, great headphones and very comfortable.  What else can you say about AirPods.",comfortable,comfort,positive
Think I got a defect,"Had a pair before, great headphones and very comfortable.  What else can you say about AirPods.",AirPods,other,neutral
Great value,Works great for the price! It was a little bulky but not heavy. Good for camping.,price,price,positive
Great value,Works great for the price! It was a little bulky but not heavy. Good for camping.,bulkiness,other,neutral
Great value,Works great for the price! It was a little bulky but not heavy. Good for camping.,weight,other,neutral
Great value,Works great for the price! It was a little bulky but not heavy. Good for camping.,camping,other,positive
Is good to buy it,I really do like and it worki really good,quality,quality,positive
Is good to buy it,I really do like and it worki really good,functionality,functionality,positive
Nice deal,"Mats work nice using for dead lifts, protects floor from damage",functionality,functionality,positive
Nice deal,"Mats work nice using for dead lifts, protects floor from damage",floor protection,other,positive
Dead in 2 months,Seemed to work pretty good but I’ve had this for about two months and only used it to sharpen my kitchen knives and it’s already dead. Unit seemed to run rather hot tbh. Went to sharpen my knife set and I got through two before a strong smell of melting plastic paired with extreme heat caused the unit to fail.,workability,other,neutral
Dead in 2 months,Seemed to work pretty good but I’ve had this for about two months and only used it to sharpen my kitchen knives and it’s already dead. Unit seemed to run rather hot tbh. Went to sharpen my knife set and I got through two before a strong smell of melting plastic paired with extreme heat caused the unit to fail.,durability,quality,negative
Dead in 2 months,Seemed to work pretty good but I’ve had this for about two months and only used it to sharpen my kitchen knives and it’s already dead. Unit seemed to run rather hot tbh. Went to sharpen my knife set and I got through two before a strong smell of melting plastic paired with extreme heat caused the unit to fail.,temperature,other,negative
Decent and works,Easy to install but thought it tilted left and right. Works perfectly for the bedroom.,installation,other,neutral
Decent and works,Easy to install but thought it tilted left and right. Works perfectly for the bedroom.,tilt,other,negative
Decent and works,Easy to install but thought it tilted left and right. Works perfectly for the bedroom.,functionality,functionality,positive
Perfect attire for end of the day!,The best outfit for the end of the day..soft and comfy!,softness,other,positive
Perfect attire for end of the day!,The best outfit for the end of the day..soft and comfy!,comfort,comfort,positive
Great mascara for the price!,I'll definitely purchase this product again.  It stays on really well. The only issue I have is that it's not pretty to take off.  I look like I have 2 black eyes when I go to wash my face even when using an eye makeup remover prior to washing.  Other than that it's a great product!,stays on really well,other,positive
Great mascara for the price!,I'll definitely purchase this product again.  It stays on really well. The only issue I have is that it's not pretty to take off.  I look like I have 2 black eyes when I go to wash my face even when using an eye makeup remover prior to washing.  Other than that it's a great product!,product,other,positive
Great mascara for the price!,I'll definitely purchase this product again.  It stays on really well. The only issue I have is that it's not pretty to take off.  I look like I have 2 black eyes when I go to wash my face even when using an eye makeup remover prior to washing.  Other than that it's a great product!,not pretty to take off,other,negative
Great mascara for the price!,I'll definitely purchase this product again.  It stays on really well. The only issue I have is that it's not pretty to take off.  I look like I have 2 black eyes when I go to wash my face even when using an eye makeup remover prior to washing.  Other than that it's a great product!,eye makeup remover prior to washing,other,neutral
Very cute and hopefully we use it someday!,"It’s very compact and easy to clean. The design is super cute. However, my toddler refuses to sit on it, because she’s terrified of “the big potty.” I’m hoping in time we will use it more but I think it’s a great product for the price.",compactness,other,positive
Very cute and hopefully we use it someday!,"It’s very compact and easy to clean. The design is super cute. However, my toddler refuses to sit on it, because she’s terrified of “the big potty.” I’m hoping in time we will use it more but I think it’s a great product for the price.",ease of cleaning,other,positive
Very cute and hopefully we use it someday!,"It’s very compact and easy to clean. The design is super cute. However, my toddler refuses to sit on it, because she’s terrified of “the big potty.” I’m hoping in time we will use it more but I think it’s a great product for the price.",design,quality,positive
Very cute and hopefully we use it someday!,"It’s very compact and easy to clean. The design is super cute. However, my toddler refuses to sit on it, because she’s terrified of “the big potty.” I’m hoping in time we will use it more but I think it’s a great product for the price.",price,price,positive
Dad likes it.,"Bought this for my dad and he's happy with it. I was a little concerned, because it didn't expand most of the way when unwrapped but he said it did expand to fill the cover by the next day.",product performance,functionality,neutral
Dad likes it.,"Bought this for my dad and he's happy with it. I was a little concerned, because it didn't expand most of the way when unwrapped but he said it did expand to fill the cover by the next day.",packaging/unwrapping experience,other,neutral
Stream from duck’s bill is tiny.,"The only aspect that was disappointing was the size of the stream from the ducks bill, tiny and beyond tiny. My cat loves to drink from the bottom of the fountain but not the stream. He likes to drink from the bathroom faucet so i thought he would on this. Maybe he can’t see the timy stream!",size of the stream from the ducks bill,other,negative
Nice Quality,"Nice quality, effective and durable",quality,quality,positive
Nice Quality,"Nice quality, effective and durable",effectiveness,other,positive
Nice Quality,"Nice quality, effective and durable",durability,quality,positive
Fall Pumpkin Sets!！,Very good value set. You get so much! So many different colored pumpkins. And the garland vine is very full and the leaves are very life-like. Would definitely recommend. Provided a photo when I was testing out the dining table.,value,price,positive
Fall Pumpkin Sets!！,Very good value set. You get so much! So many different colored pumpkins. And the garland vine is very full and the leaves are very life-like. Would definitely recommend. Provided a photo when I was testing out the dining table.,color options,appearance,positive
Fall Pumpkin Sets!！,Very good value set. You get so much! So many different colored pumpkins. And the garland vine is very full and the leaves are very life-like. Would definitely recommend. Provided a photo when I was testing out the dining table.,garland vine,other,positive
Fall Pumpkin Sets!！,Very good value set. You get so much! So many different colored pumpkins. And the garland vine is very full and the leaves are very life-like. Would definitely recommend. Provided a photo when I was testing out the dining table.,leaves,other,positive
Fall Pumpkin Sets!！,Very good value set. You get so much! So many different colored pumpkins. And the garland vine is very full and the leaves are very life-like. Would definitely recommend. Provided a photo when I was testing out the dining table.,photo,other,neutral
Cheap price Cheap audio.,"I have never had good thing to say about Beats audio equipment. I have always thought they were over priced and poor quality. These fall under that same category. Even with the provided different ear bud foam sizes, they don't stay in your ears. The sound quality is real bad, especially at higher volumes. The bass gets distorted.",price,price,negative
Cheap price Cheap audio.,"I have never had good thing to say about Beats audio equipment. I have always thought they were over priced and poor quality. These fall under that same category. Even with the provided different ear bud foam sizes, they don't stay in your ears. The sound quality is real bad, especially at higher volumes. The bass gets distorted.",quality,quality,negative
Cheap price Cheap audio.,"I have never had good thing to say about Beats audio equipment. I have always thought they were over priced and poor quality. These fall under that same category. Even with the provided different ear bud foam sizes, they don't stay in your ears. The sound quality is real bad, especially at higher volumes. The bass gets distorted.",earbud fit,other,negative
