reviewTitle,reviewBody,title_sentiment,body_sentiment,title_aspects,title_sentiments,body_aspects,body_sentiments
Great,So easy to use and made my winter mornings so much quicker. It’s fast to install and easy to take take off. The video tutorial they have for this product was also very helpful.,neutral,positive,[],[],"['product', 'tutorial', 'mornings', 'winter', 'video']","[{'aspect': 'product', 'negative': np.float32(0.008681279), 'neutral': np.float32(0.28959757), 'positive': np.float32(0.7017212)}, {'aspect': 'tutorial', 'negative': np.float32(0.0009398709), 'neutral': np.float32(0.0037208719), 'positive': np.float32(0.9953393)}, {'aspect': 'mornings', 'negative': np.float32(0.0010696099), 'neutral': np.float32(0.005884151), 'positive': np.float32(0.9930462)}, {'aspect': 'winter', 'negative': np.float32(0.0073511004), 'neutral': np.float32(0.52605915), 'positive': np.float32(0.4665897)}, {'aspect': 'video', 'negative': np.float32(0.0009850208), 'neutral': np.float32(0.0041033644), 'positive': np.float32(0.9949116)}]"
Black garlic,"I like the product , I eat one every day great taste",negative,positive,['garlic'],"[{'aspect': 'garlic', 'negative': np.float32(0.66756105), 'neutral': np.float32(0.22324614), 'positive': np.float32(0.10919281)}]","['day', 'product', 'taste']","[{'aspect': 'day', 'negative': np.float32(0.0011941568), 'neutral': np.float32(0.011817921), 'positive': np.float32(0.98698795)}, {'aspect': 'product', 'negative': np.float32(0.00040634404), 'neutral': np.float32(0.002523636), 'positive': np.float32(0.99706995)}, {'aspect': 'taste', 'negative': np.float32(0.00048581793), 'neutral': np.float32(0.0014366305), 'positive': np.float32(0.9980775)}]"
The black face mask looks exceptional.,Love the look of these face masks except for the colors. The black one is very nice & looks phenomenal. The other colors not so much.,positive,positive,"['mask', 'face']","[{'aspect': 'mask', 'negative': np.float32(0.008216504), 'neutral': np.float32(0.01760088), 'positive': np.float32(0.97418267)}, {'aspect': 'face', 'negative': np.float32(0.18650676), 'neutral': np.float32(0.43773165), 'positive': np.float32(0.37576157)}]","['masks', 'face', 'colors', 'one', 'look']","[{'aspect': 'masks', 'negative': np.float32(0.07570865), 'neutral': np.float32(0.14751025), 'positive': np.float32(0.7767811)}, {'aspect': 'face', 'negative': np.float32(0.29034442), 'neutral': np.float32(0.3991656), 'positive': np.float32(0.31048998)}, {'aspect': 'colors', 'negative': np.float32(0.9916413), 'neutral': np.float32(0.002249796), 'positive': np.float32(0.006108841)}, {'aspect': 'one', 'negative': np.float32(0.36179903), 'neutral': np.float32(0.04226618), 'positive': np.float32(0.5959348)}, {'aspect': 'look', 'negative': np.float32(0.009108886), 'neutral': np.float32(0.004973563), 'positive': np.float32(0.9859176)}]"
Broken,"Broken, not functioning. The string is cut so it won’t open. I will be returning it!!!",neutral,negative,[],[],['string'],"[{'aspect': 'string', 'negative': np.float32(0.9962542), 'neutral': np.float32(0.0023171522), 'positive': np.float32(0.0014286197)}]"
Amazing,So I got the one size regular. I am 5’6 and 176 lbs. I also have a little baby pouch from having kids lol when I first looked at them upon delivery they looked small. I tried them on. There was some extra leg length that bunches up some but not bad. They’re extremely soft. They hid my pouch pretty well. I can also lift my legs high and squat with no feeling of gaining tightness on my legs or anywhere. So they are pretty stretchy as well. I’m happy with them.,neutral,positive,[],[],"['5’6', 'leg', 'baby', 'length', 'feeling', 'size', 'lbs', 'kids', 'delivery', 'tightness', 'legs', 'pouch']","[{'aspect': '5’6', 'negative': np.float32(0.06770603), 'neutral': np.float32(0.33227128), 'positive': np.float32(0.6000226)}, {'aspect': 'leg', 'negative': np.float32(0.6913359), 'neutral': np.float32(0.074226), 'positive': np.float32(0.23443805)}, {'aspect': 'baby', 'negative': np.float32(0.25997147), 'neutral': np.float32(0.606485), 'positive': np.float32(0.13354348)}, {'aspect': 'length', 'negative': np.float32(0.92876166), 'neutral': np.float32(0.020166822), 'positive': np.float32(0.051071588)}, {'aspect': 'feeling', 'negative': np.float32(0.09475992), 'neutral': np.float32(0.046963904), 'positive': np.float32(0.8582762)}, {'aspect': 'size', 'negative': np.float32(0.06773378), 'neutral': np.float32(0.28963774), 'positive': np.float32(0.64262855)}, {'aspect': 'lbs', 'negative': np.float32(0.115419514), 'neutral': np.float32(0.3735138), 'positive': np.float32(0.5110666)}, {'aspect': 'kids', 'negative': np.float32(0.11899782), 'neutral': np.float32(0.8112876), 'positive': np.float32(0.06971465)}, {'aspect': 'delivery', 'negative': np.float32(0.069958396), 'neutral': np.float32(0.7862338), 'positive': np.float32(0.14380784)}, {'aspect': 'tightness', 'negative': np.float32(0.36063722), 'neutral': np.float32(0.044654816), 'positive': np.float32(0.59470797)}, {'aspect': 'legs', 'negative': np.float32(0.4375604), 'neutral': np.float32(0.18273532), 'positive': np.float32(0.37970427)}, {'aspect': 'pouch', 'negative': np.float32(0.6591732), 'neutral': np.float32(0.12898777), 'positive': np.float32(0.21183908)}]"
Dry gas shiing,Works well,negative,positive,"['shiing', 'gas']","[{'aspect': 'shiing', 'negative': np.float32(0.6203153), 'neutral': np.float32(0.22044893), 'positive': np.float32(0.15923569)}, {'aspect': 'gas', 'negative': np.float32(0.9938864), 'neutral': np.float32(0.0028953063), 'positive': np.float32(0.0032182653)}]",['Works'],"[{'aspect': 'Works', 'negative': np.float32(0.0027041622), 'neutral': np.float32(0.02002407), 'positive': np.float32(0.9772718)}]"
Expensive for what you get,I use 9 gallons of water to fertilize all my succulents on the porch. One entire bottle is only good for 8 gallons.,neutral,neutral,[],[],"['porch', 'gallons', 'succulents', 'water', 'bottle']","[{'aspect': 'porch', 'negative': np.float32(0.0008717559), 'neutral': np.float32(0.99791354), 'positive': np.float32(0.0012146934)}, {'aspect': 'gallons', 'negative': np.float32(0.0061103418), 'neutral': np.float32(0.9890559), 'positive': np.float32(0.004833872)}, {'aspect': 'succulents', 'negative': np.float32(0.0013101277), 'neutral': np.float32(0.9960014), 'positive': np.float32(0.002688464)}, {'aspect': 'water', 'negative': np.float32(0.0014998326), 'neutral': np.float32(0.99619883), 'positive': np.float32(0.0023013065)}, {'aspect': 'bottle', 'negative': np.float32(0.98303235), 'neutral': np.float32(0.008272907), 'positive': np.float32(0.008694723)}]"
Perfect family beach towel,"This is the perfect beach towel! I wanted something large enough to fit me, my husband, and my young daughter comfortably, along with all of our beach gear that we want to protect from sand. It comes with stakes and packets to fill with sand to weigh it down, which is great so I don’t have to worry about putting something in each corner. I also intend to use this inside our beach tent to make it more waterproof. It’s light weight and small when packed up. A must-have for every beachgoer.",positive,positive,"['beach', 'family', 'towel']","[{'aspect': 'beach', 'negative': np.float32(0.0016861147), 'neutral': np.float32(0.018598957), 'positive': np.float32(0.97971493)}, {'aspect': 'family', 'negative': np.float32(0.005897269), 'neutral': np.float32(0.041345857), 'positive': np.float32(0.9527569)}, {'aspect': 'towel', 'negative': np.float32(0.0012252985), 'neutral': np.float32(0.006316844), 'positive': np.float32(0.99245787)}]","['husband', 'beachgoer', 'gear', 'towel', 'daughter', 'stakes', 'corner', 'tent', 'beach', 'sand', 'weight', 'packets']","[{'aspect': 'husband', 'negative': np.float32(0.0037794018), 'neutral': np.float32(0.03293535), 'positive': np.float32(0.96328527)}, {'aspect': 'beachgoer', 'negative': np.float32(0.0026541867), 'neutral': np.float32(0.01838413), 'positive': np.float32(0.97896165)}, {'aspect': 'gear', 'negative': np.float32(0.008906752), 'neutral': np.float32(0.33833897), 'positive': np.float32(0.6527543)}, {'aspect': 'towel', 'negative': np.float32(0.0016077167), 'neutral': np.float32(0.0024441255), 'positive': np.float32(0.99594814)}, {'aspect': 'daughter', 'negative': np.float32(0.005318363), 'neutral': np.float32(0.057641786), 'positive': np.float32(0.9370399)}, {'aspect': 'stakes', 'negative': np.float32(0.009392718), 'neutral': np.float32(0.5241054), 'positive': np.float32(0.4665019)}, {'aspect': 'corner', 'negative': np.float32(0.002383012), 'neutral': np.float32(0.98839825), 'positive': np.float32(0.009218702)}, {'aspect': 'tent', 'negative': np.float32(0.016828336), 'neutral': np.float32(0.5853748), 'positive': np.float32(0.39779696)}, {'aspect': 'beach', 'negative': np.float32(0.0018145797), 'neutral': np.float32(0.008821406), 'positive': np.float32(0.989364)}, {'aspect': 'sand', 'negative': np.float32(0.03531327), 'neutral': np.float32(0.92129666), 'positive': np.float32(0.043390106)}, {'aspect': 'weight', 'negative': np.float32(0.0037197743), 'neutral': np.float32(0.004987182), 'positive': np.float32(0.991293)}, {'aspect': 'packets', 'negative': np.float32(0.008484423), 'neutral': np.float32(0.14586344), 'positive': np.float32(0.84565216)}]"
Not worth the money,I purchased this as a gift once the child received it it did not work it was poorly made and a waste of money. Wanted to return and it cost just as much to ship it back as the item itself.,negative,negative,['money'],"[{'aspect': 'money', 'negative': np.float32(0.9724243), 'neutral': np.float32(0.019240722), 'positive': np.float32(0.008334963)}]","['child', 'waste', 'money', 'item', 'gift']","[{'aspect': 'child', 'negative': np.float32(0.9086197), 'neutral': np.float32(0.087395266), 'positive': np.float32(0.0039850012)}, {'aspect': 'waste', 'negative': np.float32(0.97158843), 'neutral': np.float32(0.013512628), 'positive': np.float32(0.01489896)}, {'aspect': 'money', 'negative': np.float32(0.9925937), 'neutral': np.float32(0.0038211094), 'positive': np.float32(0.0035852261)}, {'aspect': 'item', 'negative': np.float32(0.964977), 'neutral': np.float32(0.0326364), 'positive': np.float32(0.002386564)}, {'aspect': 'gift', 'negative': np.float32(0.070172735), 'neutral': np.float32(0.9248191), 'positive': np.float32(0.0050081164)}]"
Did not fit,Bought this for 2014 Dodge Dart SXT and they did not fit.  Perhaps not compatible with alloy wheels?  They should specify wheel type in fit guide.,neutral,negative,[],[],"['Dodge', 'SXT', 'wheels', 'wheel', 'type', 'Dart', 'guide']","[{'aspect': 'Dodge', 'negative': np.float32(0.32244375), 'neutral': np.float32(0.6732185), 'positive': np.float32(0.0043377173)}, {'aspect': 'SXT', 'negative': np.float32(0.9067309), 'neutral': np.float32(0.091313876), 'positive': np.float32(0.001955223)}, {'aspect': 'wheels', 'negative': np.float32(0.9899408), 'neutral': np.float32(0.008625722), 'positive': np.float32(0.0014334235)}, {'aspect': 'wheel', 'negative': np.float32(0.9865607), 'neutral': np.float32(0.011870428), 'positive': np.float32(0.0015688619)}, {'aspect': 'type', 'negative': np.float32(0.91843027), 'neutral': np.float32(0.07775893), 'positive': np.float32(0.0038107554)}, {'aspect': 'Dart', 'negative': np.float32(0.13698585), 'neutral': np.float32(0.86015195), 'positive': np.float32(0.0028621885)}, {'aspect': 'guide', 'negative': np.float32(0.96179634), 'neutral': np.float32(0.031464875), 'positive': np.float32(0.0067386813)}]"
Easy to clean,I love how durable the straws are and it's easy to clean. My children love the straws.  I normally use them at work to avoid displaying plastic straw.,neutral,positive,[],[],"['straw', 'children', 'straws', 'plastic', 'work']","[{'aspect': 'straw', 'negative': np.float32(0.0030872612), 'neutral': np.float32(0.020590913), 'positive': np.float32(0.9763218)}, {'aspect': 'children', 'negative': np.float32(0.0025627988), 'neutral': np.float32(0.018307399), 'positive': np.float32(0.97912973)}, {'aspect': 'straws', 'negative': np.float32(0.0010121671), 'neutral': np.float32(0.0041726935), 'positive': np.float32(0.9948152)}, {'aspect': 'plastic', 'negative': np.float32(0.9299855), 'neutral': np.float32(0.062344003), 'positive': np.float32(0.0076704673)}, {'aspect': 'work', 'negative': np.float32(0.0016597998), 'neutral': np.float32(0.9940942), 'positive': np.float32(0.0042460514)}]"
As advertised.,Excellent braze alloy. Will buy again.,neutral,positive,[],[],"['alloy', 'braze']","[{'aspect': 'alloy', 'negative': np.float32(0.00047334057), 'neutral': np.float32(0.001222295), 'positive': np.float32(0.99830437)}, {'aspect': 'braze', 'negative': np.float32(0.00044093365), 'neutral': np.float32(0.0012069138), 'positive': np.float32(0.99835217)}]"
Can move around easily & charge will using oynjm,Love the length of this cord 10 ft.,positive,positive,['charge'],"[{'aspect': 'charge', 'negative': np.float32(0.00219031), 'neutral': np.float32(0.02028094), 'positive': np.float32(0.97752875)}]","['length', 'cord', 'ft']","[{'aspect': 'length', 'negative': np.float32(0.0014320698), 'neutral': np.float32(0.002183348), 'positive': np.float32(0.9963846)}, {'aspect': 'cord', 'negative': np.float32(0.0024633051), 'neutral': np.float32(0.0059231822), 'positive': np.float32(0.9916135)}, {'aspect': 'ft', 'negative': np.float32(0.012213983), 'neutral': np.float32(0.2198183), 'positive': np.float32(0.7679677)}]"
Proven in a 24hr adventure race,I wore these for a 24hr adventure race and was pleased. I was worried my backside would get overly sore with 90+ miles of biking but faired no worse than I’d expect to in fully padded bike shorts. They held up well over 30+ miles of trekking in that race with no chaffing or discomfort. I did wear UA boxer briefs underneath as I could feel the seam of the pad against my skin without them and didn’t want to risk irritation over that distance.,neutral,positive,"['race', 'adventure']","[{'aspect': 'race', 'negative': np.float32(0.0033514022), 'neutral': np.float32(0.98105043), 'positive': np.float32(0.015598189)}, {'aspect': 'adventure', 'negative': np.float32(0.0057225195), 'neutral': np.float32(0.9727778), 'positive': np.float32(0.021499809)}]","['seam', 'pad', 'miles', 'skin', 'irritation', 'chaffing', 'UA', 'boxer', 'race', 'briefs', 'bike', 'trekking', 'shorts', 'adventure', 'backside', 'distance']","[{'aspect': 'seam', 'negative': np.float32(0.660476), 'neutral': np.float32(0.014369698), 'positive': np.float32(0.3251543)}, {'aspect': 'pad', 'negative': np.float32(0.01993638), 'neutral': np.float32(0.024213627), 'positive': np.float32(0.95584995)}, {'aspect': 'miles', 'negative': np.float32(0.017635683), 'neutral': np.float32(0.07924464), 'positive': np.float32(0.9031197)}, {'aspect': 'skin', 'negative': np.float32(0.02102195), 'neutral': np.float32(0.03329109), 'positive': np.float32(0.94568694)}, {'aspect': 'irritation', 'negative': np.float32(0.2213635), 'neutral': np.float32(0.02429772), 'positive': np.float32(0.7543388)}, {'aspect': 'chaffing', 'negative': np.float32(0.016313845), 'neutral': np.float32(0.010370641), 'positive': np.float32(0.9733155)}, {'aspect': 'UA', 'negative': np.float32(0.0054302556), 'neutral': np.float32(0.020021712), 'positive': np.float32(0.974548)}, {'aspect': 'boxer', 'negative': np.float32(0.014627114), 'neutral': np.float32(0.15188928), 'positive': np.float32(0.8334836)}, {'aspect': 'race', 'negative': np.float32(0.0072592353), 'neutral': np.float32(0.69642586), 'positive': np.float32(0.2963149)}, {'aspect': 'briefs', 'negative': np.float32(0.0068761357), 'neutral': np.float32(0.026565019), 'positive': np.float32(0.9665589)}, {'aspect': 'bike', 'negative': np.float32(0.0058091106), 'neutral': np.float32(0.057877768), 'positive': np.float32(0.9363131)}, {'aspect': 'trekking', 'negative': np.float32(0.010631996), 'neutral': np.float32(0.5228326), 'positive': np.float32(0.46653548)}, {'aspect': 'shorts', 'negative': np.float32(0.0033702485), 'neutral': np.float32(0.007309445), 'positive': np.float32(0.9893203)}, {'aspect': 'adventure', 'negative': np.float32(0.0075782994), 'neutral': np.float32(0.51151013), 'positive': np.float32(0.48091158)}, {'aspect': 'backside', 'negative': np.float32(0.11535227), 'neutral': np.float32(0.016594497), 'positive': np.float32(0.86805326)}, {'aspect': 'distance', 'negative': np.float32(0.046407398), 'neutral': np.float32(0.3685438), 'positive': np.float32(0.58504874)}]"
Great,Great! It works.,neutral,neutral,[],[],[],[]
Do not buy,Already fading to white.,neutral,neutral,[],[],[],[]
not as pictured,"I ordered this because the picture shows a splash guard with a cut out at the narrow end to hold the down spout.  The one that arrived did not have this feature and so, is of no use to me. Will be returning.",neutral,negative,[],[],"['guard', 'end', 'picture', 'cut', 'feature', 'spout', 'use', 'one', 'splash']","[{'aspect': 'guard', 'negative': np.float32(0.3727355), 'neutral': np.float32(0.54946125), 'positive': np.float32(0.077803284)}, {'aspect': 'end', 'negative': np.float32(0.4302116), 'neutral': np.float32(0.52017653), 'positive': np.float32(0.049611833)}, {'aspect': 'picture', 'negative': np.float32(0.08070512), 'neutral': np.float32(0.8512831), 'positive': np.float32(0.068011835)}, {'aspect': 'cut', 'negative': np.float32(0.6894966), 'neutral': np.float32(0.2976533), 'positive': np.float32(0.012850105)}, {'aspect': 'feature', 'negative': np.float32(0.98894346), 'neutral': np.float32(0.008361883), 'positive': np.float32(0.0026946)}, {'aspect': 'spout', 'negative': np.float32(0.4228486), 'neutral': np.float32(0.55477), 'positive': np.float32(0.02238138)}, {'aspect': 'use', 'negative': np.float32(0.7979805), 'neutral': np.float32(0.15359305), 'positive': np.float32(0.048426393)}, {'aspect': 'one', 'negative': np.float32(0.93206817), 'neutral': np.float32(0.04473719), 'positive': np.float32(0.023194727)}, {'aspect': 'splash', 'negative': np.float32(0.020046277), 'neutral': np.float32(0.96909606), 'positive': np.float32(0.010857646)}]"
Just buy it,Just what i needed. Fast shipping.,neutral,positive,[],[],['shipping'],"[{'aspect': 'shipping', 'negative': np.float32(0.0008802823), 'neutral': np.float32(0.0024824531), 'positive': np.float32(0.9966372)}]"
Good Product,It is very easy to use and clean So far the food has been good,positive,positive,"['Product', 'Good']","[{'aspect': 'Product', 'negative': np.float32(0.00053041615), 'neutral': np.float32(0.0017910623), 'positive': np.float32(0.9976786)}, {'aspect': 'Good', 'negative': np.float32(0.000843344), 'neutral': np.float32(0.006219349), 'positive': np.float32(0.99293727)}]",['food'],"[{'aspect': 'food', 'negative': np.float32(0.00063156383), 'neutral': np.float32(0.004195261), 'positive': np.float32(0.99517316)}]"
